title,type,release_year,age_certification,runtime,genre,production_countries,seasons,imdb_votes,tmdb_popularity,average_score
Deadly Illusions,MOVIE,2021,R,114,thriller,['US'],,,18.367,5.5171
Spiderhead,MOVIE,2022,R,106,scifi,['US'],,43239.0,996.869,5.8100000000000005
A Stand Worthy of Men,MOVIE,2021,,120,drama,[],,2174.0,,7.2
La Vocera,MOVIE,2020,,82,documentation,['MX'],,55.0,1.679,7.025
Night Teeth,MOVIE,2021,,107,crime,"['GB', 'US']",,17526.0,68.073,6.225
Back to the Outback,MOVIE,2021,PG,95,animation,"['AU', 'US']",,7896.0,155.021,7.26
The Door Into Summer,MOVIE,2021,,118,scifi,[],,696.0,,6.3
The Starling,MOVIE,2021,PG-13,102,comedy,['US'],,12309.0,24.671,6.845
Outlaws,MOVIE,2021,R,125,crime,['ES'],,3985.0,67.192,7.1
Maha Samudram,MOVIE,2021,,152,drama,['IN'],,,1.855,6.67
Dreamcatcher,MOVIE,2021,,108,thriller,['US'],,700.0,94.147,4.54
Dynasty Warriors,MOVIE,2021,PG-13,118,action,"['HK', 'NZ']",,2146.0,165.339,5.73
One,MOVIE,2021,,150,drama,['IN'],,2672.0,2.237,6.675000000000001
Who We Are: A Chronicle of Racism in America,MOVIE,2022,PG-13,117,documentation,['US'],,715.0,3.747,5.715
Every Breath You Take,MOVIE,2021,R,105,thriller,"['DE', 'US']",,4913.0,16.036,5.85
A Nightmare on Elm Street,MOVIE,2010,R,95,horror,['US'],,99894.0,39.672,5.575
Madame Claude,MOVIE,2021,,112,crime,['FR'],,3402.0,15.666,5.8100000000000005
Trapped,MOVIE,2021,,77,drama,['EG'],,10.0,1.631,6.4
Trigun: Badlands Rumble,MOVIE,2010,PG-13,90,scifi,['JP'],,5317.0,8.951,7.62
The Karate Kid,MOVIE,2010,PG,140,drama,"['CN', 'US']",,178653.0,114.901,6.525
Nayattu,MOVIE,2021,,124,thriller,['IN'],,7040.0,2.432,8.015
Unstoppable,MOVIE,2010,PG-13,98,thriller,['US'],,195197.0,27.116,6.825
The Guardian,MOVIE,2021,,127,drama,['VN'],,347.0,2.932,5.555
Ajeeb Daastaans,MOVIE,2021,,142,drama,['IN'],,5743.0,5.751,6.91
Dasvi,MOVIE,2022,,125,comedy,['IN'],,21050.0,3.327,6.765000000000001
Loyiso Gola: Unlearning,MOVIE,2021,,60,comedy,[],,206.0,1.884,6.825
Just in Time,MOVIE,2021,,91,comedy,['KE'],,46.0,1.219,8.45
Reframe THEATER EXPERIENCE with you,MOVIE,2020,,84,music,['JP'],,,1.554,7.3
Perfume Imaginary Museum “Time Warp”,MOVIE,2020,,53,music,['JP'],,24.0,1.555,6.9
Blood Red Sky,MOVIE,2021,,121,thriller,"['DE', 'GB']",,44006.0,57.545,6.699999999999999
Sarbath,MOVIE,2021,,112,romance,['IN'],,266.0,1.951,5.82
Time,MOVIE,2021,,98,comedy,['HK'],,,1.881,7.3
The Other Guys,MOVIE,2010,,107,crime,['US'],,263019.0,50.29,6.635
Annaatthe,MOVIE,2021,,163,drama,['IN'],,9643.0,3.922,5.695
This Little Love of Mine,MOVIE,2021,G,91,romance,['AU'],,2514.0,12.97,5.9399999999999995
Irul,MOVIE,2021,,91,thriller,['IN'],,3084.0,1.886,5.965
Stop and Go,MOVIE,2021,,80,comedy,['US'],,387.0,3.361,6.65
Wave of Cinema: Generasi 90an,MOVIE,2020,,51,music,['ID'],,,0.619,
Red Snow,MOVIE,2019,,100,drama,['CA'],,157.0,2.503,5.0
He's All That,MOVIE,2021,R,91,comedy,['US'],,24253.0,79.838,5.71
Peepli Live,MOVIE,2010,PG,104,drama,['IN'],,12309.0,3.404,7.485
Fafner in the Azure: Dead Aggressor - Heaven and Earth,MOVIE,2010,,95,scifi,['JP'],,69.0,5.156,5.41
Ferry,MOVIE,2021,,106,drama,"['BE', 'NL']",,10900.0,29.798,7.0600000000000005
Dolly Parton: A MusiCares Tribute,MOVIE,2021,,55,music,['US'],,234.0,5.064,6.949999999999999
Have You Ever Seen Fireflies?,MOVIE,2021,,113,drama,['TR'],,5024.0,4.109,6.655
Trigger Point,MOVIE,2021,,82,thriller,['CA'],,2257.0,71.482,5.83
The Virtuoso,MOVIE,2021,R,105,thriller,['US'],,6693.0,108.75,5.74
Edge of the World,MOVIE,2021,PG-13,104,drama,"['CN', 'GB', 'MY', 'US']",,1911.0,23.775,5.665
The Resort,MOVIE,2021,,75,horror,['US'],,2443.0,8.738,4.075
Mandela,MOVIE,2021,,144,comedy,['IN'],,,3.11,7.75
Kurup,MOVIE,2021,,155,thriller,['IN'],,12251.0,3.893,6.795
Why Did You Kill Me?,MOVIE,2021,R,83,crime,['US'],,4175.0,14.666,6.09
Two,MOVIE,2021,,71,horror,['ES'],,,236.797,5.95
One Like It,MOVIE,2020,,14,,[],,,0.961,4.15
Ramona and Beezus,MOVIE,2010,G,103,comedy,['US'],,18519.0,9.997,6.675000000000001
Ip Man 2,MOVIE,2010,R,108,drama,"['CN', 'HK']",,104500.0,4.516,7.625
Marked,MOVIE,2019,,45,documentation,['NG'],,,0.611,
Heroes: Silence and Rock & Roll,MOVIE,2021,,94,documentation,['ES'],,668.0,14.086,8.120000000000001
Karthik Calling Karthik,MOVIE,2010,PG,135,thriller,['IN'],,12114.0,7.725,6.885
Barbie & Chelsea: The Lost Birthday,MOVIE,2021,,60,animation,['US'],,,69.565,7.39
Get the Grift,MOVIE,2021,,94,crime,['BR'],,748.0,20.388,6.075
Dhamaka,MOVIE,2021,,104,thriller,['IN'],,40263.0,72.416,7.385
Rare Exports: A Christmas Tale,MOVIE,2010,R,83,fantasy,"['FI', 'FR', 'NO', 'SE']",,28802.0,6.805,6.635
Black Death,MOVIE,2010,R,102,horror,"['DE', 'GB']",,47682.0,7.34,6.4
The Last Kids on Earth: Happy Apocalypse to You,MOVIE,2021,G,91,fantasy,['CA'],,,3.02,8.829999999999998
Get Him to the Greek,MOVIE,2010,R,109,comedy,['US'],,177089.0,12.261,6.305
Plastic Island,MOVIE,2021,,102,documentation,['ID'],,22.0,1.4,8.0
Till Death,MOVIE,2021,R,89,horror,['US'],,20256.0,21.514,6.369999999999999
Sisters on Track,MOVIE,2021,PG,96,documentation,['US'],,199.0,7.433,6.595
Searching for Sheela,MOVIE,2021,,58,documentation,['IN'],,1360.0,5.135,5.305
Spencer,MOVIE,2021,R,117,drama,"['CL', 'DE', 'GB', 'US']",,56835.0,38.582,7.045
Moby Doc,MOVIE,2021,,92,music,['US'],,881.0,3.629,6.795
Silo,MOVIE,2019,,76,thriller,['US'],,244.0,2.243,6.51
Dad Stop Embarrassing Me - The Afterparty,MOVIE,2021,PG-13,37,,['US'],,,1.296,10.0
Condom Lead,MOVIE,2013,,15,drama,['PS'],,,1.4,
I Am All Girls,MOVIE,2021,,107,thriller,['ZA'],,5917.0,43.887,6.42
Shadow and Bone - The Afterparty,MOVIE,2021,R,32,,"['CA', 'HU']",,,1.667,8.02
Italian Studies,MOVIE,2022,,81,drama,['US'],,414.0,4.126,4.835
Wave of Cinema: Filosofi Kopi,MOVIE,2020,,90,documentation,['ID'],,,0.908,
Sardar Ka Grandson,MOVIE,2021,,140,comedy,['IN'],,4539.0,5.578,5.885
The Loneliest Whale: The Search for 52,MOVIE,2021,PG,96,documentation,['US'],,290.0,4.054,7.535
Main Street,MOVIE,2010,PG,92,romance,['US'],,2851.0,4.945,4.83
Udaan,MOVIE,2010,R,138,drama,['IN'],,44862.0,5.019,7.835
The Guide to the Perfect Family,MOVIE,2021,,102,comedy,['CA'],,1668.0,26.085,6.67
Survival Island,MOVIE,1996,,40,documentation,"['JP', 'US']",,,2.14,5.5
Dancing Queens,MOVIE,2021,,110,drama,['SE'],,1747.0,23.443,5.955
Resort to Love,MOVIE,2021,PG,101,romance,['US'],,5771.0,42.837,6.635
Soy Rada: Serendipity,MOVIE,2021,,70,comedy,['AR'],,78.0,7.514,5.625
Slay,MOVIE,2021,,93,romance,['ZA'],,103.0,1.676,4.800000000000001
Carnaval,MOVIE,2021,,94,comedy,['BR'],,914.0,27.733,4.795
"Mark, Mary + Some Other People",MOVIE,2021,,90,romance,['US'],,,5.37,5.86
Beckett,MOVIE,2021,R,109,crime,"['BR', 'IT']",,25703.0,86.212,6.135
Awake,MOVIE,2021,R,96,drama,['US'],,21498.0,89.154,5.65
The Last Mercenary,MOVIE,2021,,110,action,['FR'],,8476.0,108.089,6.119999999999999
America: The Motion Picture,MOVIE,2021,R,98,action,['US'],,6349.0,68.439,5.91
Ghost Lab,MOVIE,2021,,117,thriller,['TH'],,1424.0,50.322,5.975
Good on Paper,MOVIE,2021,R,92,comedy,['US'],,11987.0,14.843,5.865
Monster Family 2,MOVIE,2021,PG,103,animation,"['DE', 'GB']",,597.0,113.887,6.0
Trapped,MOVIE,2002,R,106,crime,"['DE', 'US']",,23937.0,12.657,6.34
Bo Burnham: Inside,MOVIE,2021,R,87,comedy,['US'],,44074.0,11.434,8.54
Lady Boss: The Jackie Collins Story,MOVIE,2021,,96,documentation,"['GB', 'US']",,401.0,2.614,6.8
Audible,MOVIE,2021,PG-13,39,documentation,['US'],,,8.896,6.3
Cinema Bandi,MOVIE,2021,,98,drama,['IN'],,2488.0,1.609,7.78
Nail Bomber: Manhunt,MOVIE,2021,,72,crime,['GB'],,2142.0,9.516,6.619999999999999
The Upshaws - The Afterparty,MOVIE,2021,R,32,,['US'],,,1.878,7.930000000000001
Rogue Hostage,MOVIE,2021,,94,thriller,['US'],,2058.0,99.415,4.895
Security,MOVIE,2021,,118,thriller,['IT'],,1989.0,25.561,5.515000000000001
Marilyn's Eyes,MOVIE,2021,,110,comedy,['IT'],,1396.0,6.821,6.859999999999999
Three Songs for Benazir,MOVIE,2021,,22,drama,['AF'],,,3.333,7.23
Feral State,MOVIE,2021,R,78,thriller,['US'],,2658.0,3.42,5.585
In Our Mothers' Gardens,MOVIE,2021,,84,documentation,['US'],,132.0,2.079,8.6
Momshies! Your Soul is Mine,MOVIE,2021,,108,comedy,['PH'],,27.0,2.17,5.8
Mommy Issues,MOVIE,2021,,89,comedy,['PH'],,39.0,2.324,3.6500000000000004
The Circle: The Afterparty,MOVIE,2021,,35,,['US'],,,1.882,10.0
Settlers,MOVIE,2021,,103,scifi,"['GB', 'ZA']",,4564.0,8.807,4.965
Fly Away Home,MOVIE,1996,PG,107,drama,['US'],,25370.0,12.683,7.01
One Second,MOVIE,2021,,88,comedy,['EG'],,378.0,1.96,6.449999999999999
Breaking Boundaries: The Science of Our Planet,MOVIE,2021,,73,documentation,['US'],,2663.0,7.679,7.82
Dear Affy,MOVIE,2020,,126,romance,['NG'],,5.0,0.939,5.2
