title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,normalized_tmdb_score,top_genres,genres_count,production_countries_count,average_score,score_difference,genres_uniqueness,production_countries_uniqueness,title_uniqueness_norm,description_ari,description_word_count,description_character_count,title_ari,title_word_count,title_character_count,description_sentiment,title_sentiment,top_one_genre
Name That Tune,SHOW,"Name That Tune is an American television game show that put two contestants against each other to test their knowledge of songs. Premiering in the United States on NBC Radio in 1952, the show was created and produced by Harry Salter and his wife Roberta.

Name That Tune ran from 1953–1959 on NBC and CBS in prime time. The first hosts were Red Benson and later Bill Cullen, but George DeWitt became most identified with the show.

Richard Hayes also emceed a local edition from 1970–1971, which ran for 26 weeks in a small number of markets. However, the best-remembered syndicated Name That Tune aired once a week from 1974–1981 with host Tom Kennedy. The series was revived for daily syndication in 1984, and its lone season was hosted by Jim Lange. For the last two of these series, John Harlan served as announcer.

The centerpiece of each Name That Tune series was an orchestra, which would play the songs for the contestants to guess. The syndicated series' orchestras were conducted by Bob Alberti, Tommy Oliver, and Stan Worth. A second band, Dan Sawyer and the Sound System, was also featured from 1978–1981. Beginning in 1976 and continuing for the remainder of the weekly syndicated series, as well as for the entire 1984 run, the show's title became The $100,000 Name That Tune.",1952,,43,"['family', 'music']",['US'],1,6.8,48,0.6,,"['family', 'music']",2.0,1.0,6.8,,0.9309107933011401,0.5545224005796812,0.4533907472231404,10.4,251,1297,-1.2,3,14,0.20194893330335617,-0.010041028261184692,family
The Lucy Show,SHOW,"The Lucy Show is an American sitcom that aired on CBS from 1962–68. It was Lucille Ball's follow-up to I Love Lucy. A significant change in cast and premise for the 1965–66 season divides the program into two distinct eras; aside from Ball, only Gale Gordon, who joined the program for its second season, remained. For the first three seasons, Vivian Vance was the co-star.

The earliest scripts were entitled The Lucille Ball Show, but when this title was declined, producers thought of calling the show This Is Lucy or The New Adventures of Lucy, before deciding on the title The Lucy Show. Ball won consecutive Emmy Awards as Outstanding Lead Actress in a Comedy Series for the series' final two seasons, 1966–67 and 1967–68.",1962,,30,['comedy'],['US'],6,7.2,2797,8.858,7.75,['comedy'],1.0,1.0,7.475,-0.5499999999999998,0.7743576575786824,0.5545224005796812,0.6759702659866366,11.7,142,730,-2.7,3,13,0.5259542702697217,0.06213635206222534,comedy
A Boy Named Charlie Brown,MOVIE,"Poor Charlie Brown. He can't fly a kite, and he always loses in baseball. Having his faults projected onto a screen by Lucy doesn't help him much either. Against the sage advice and taunting of the girls in his class, he volunteers for the class spelling bee...and wins!",1969,G,86,"['animation', 'comedy', 'drama', 'family']",['US'],,7.3,5001,8.118,7.21,"['animation', 'comedy']",4.0,1.0,7.255,0.08999999999999986,0.7501723544504556,0.5545224005796812,0.3342529489215454,6.5,58,270,0.9,5,25,-0.853661572560668,0.13204393163323402,animation
"Snoopy, Come Home",MOVIE,"When Snoopy receives a letter from his original owner Lila, he goes to visit her in the hospital while Charlie Brown and the gang are on the lookout for him. Suddenly, Snoopy feels that he must go live with Lila, but must say goodbye to all his friends. In his adventure to the hospital, he encounters numerous ""No Dogs Allowed"" signs, an annoying little girl who desires to keep him, and more!",1972,G,81,"['animation', 'comedy', 'drama', 'family', 'music']",['US'],,7.4,4665,6.63,7.21,"['animation', 'drama']",5.0,1.0,7.305,0.1900000000000004,0.7845737798907217,0.5545224005796812,0.4097922511870326,11.7,83,394,3.6,4,17,-0.36735522001981735,0.19143951684236526,animation
The Cat in the Hat,MOVIE,"In a marvelously animated version of one of the most beloved of all Dr. Seuss tales, two youngsters find themselves at home with nothing to do on a rainy afternoon. But when the magical, mischievous Cat in the Hat arrives on the scene, they're all cat-apulted into a day of rousing, romping, outlandish antics they - and you - will never forget!",1971,,25,"['animation', 'comedy', 'family', 'fantasy']",['US'],,7.3,1921,2.979,7.03,"['animation', 'family']",4.0,1.0,7.165,0.2699999999999996,0.8102171589751705,0.5545224005796812,0.9999999996132031,10.8,70,345,-5.8,5,18,0.9459392584394664,-0.0031763389706611633,animation
Law & Order,SHOW,"In cases ripped from the headlines, police investigate serious and often deadly crimes, weighing the evidence and questioning the suspects until someone is taken into custody. The district attorney's office then builds a case to convict the perpetrator by proving the person guilty beyond a reasonable doubt. Working together, these expert teams navigate all sides of the complex criminal justice system to make New York a safer place.",1990,TV-14,54,"['crime', 'drama', 'thriller']",['US'],21,7.8,37287,108.194,7.839999999999999,"['crime', 'drama']",3.0,1.0,7.819999999999999,-0.03999999999999915,0.7679725144819248,0.5545224005796812,0.6759702640628856,15.4,75,435,0.8,3,11,-0.04603254795074463,-0.08369721472263336,crime
The Princess Bride,MOVIE,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",1987,PG,99,"['family', 'fantasy', 'romance']",['US'],,8.0,420521,21.284,7.93,"['family', 'fantasy']",3.0,1.0,7.965,0.07000000000000028,0.8589323152670794,0.5545224005796812,0.6121902528952138,17.7,48,296,5.2,3,18,0.5400425940752029,0.11552012898027897,family
The Simpsons,SHOW,The satiric adventures of a working-class family in the misfit city of Springfield.,1989,TV-14,27,"['animation', 'comedy']",['US'],34,8.7,394764,516.381,8.110000000000001,"['animation', 'comedy']",2.0,1.0,8.405000000000001,0.5899999999999981,0.815407417103051,0.5545224005796812,0.6759702639993543,10.8,14,83,5.5,2,12,-0.3111822232604027,0.16581303998827934,animation
The Breakfast Club,MOVIE,"Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group includes rebel John, princess Claire, outcast Allison, brainy Brian and Andrew, the jock. Each has a chance to tell his or her story, making the others see them a little differently -- and when the day ends, they question whether school will ever be the same.",1985,R,98,"['comedy', 'drama']",['US'],,7.8,385471,23.351,8.02,"['comedy', 'drama']",2.0,1.0,7.91,-0.21999999999999975,0.676586758987894,0.5545224005796812,0.5013732897052746,13.2,75,394,5.2,3,18,-0.35370032861828804,0.06144705414772034,comedy
Cheers,SHOW,The story about a blue-collar Boston bar run by former sports star Sam Malone and the quirky and wonderful people who worked and drank there.,1982,TV-PG,30,"['comedy', 'drama']",['US'],11,7.9,53464,35.256,7.839999999999999,"['comedy', 'drama']",2.0,1.0,7.869999999999999,0.060000000000001386,0.676586758987894,0.5545224005796812,0.9073848768715943,13.1,26,141,7.3,1,6,0.909311278257519,0.8869454124942422,comedy
Pretty Woman,MOVIE,"When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain.",1990,R,119,"['comedy', 'romance']",['US'],,7.1,316085,47.228,7.660000000000001,"['comedy', 'romance']",2.0,1.0,7.380000000000001,-0.5600000000000014,0.7767652088457677,0.5545224005796812,0.7460319355311065,14.2,23,132,5.5,2,12,-0.6572966855019331,0.6203194446861744,comedy
