title,release_year,age_certification,runtime,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,top_genres,average_score
My So-Called Life,1994,TV-PG,48,['US'],1.0,8.4,20479.0,11.625,"['comedy', 'drama']",8.075
Yu Yu Hakusho,1992,TV-14,23,['JP'],5.0,8.4,13046.0,33.701,"['action', 'scifi']",8.66
Just Shoot Me!,1997,TV-PG,22,['US'],7.0,6.8,19683.0,23.002,['comedy'],6.915
The Practice,1997,TV-14,45,['US'],8.0,7.7,8899.0,17.265,"['crime', 'drama']",7.859999999999999
Felicity,1998,TV-14,44,['US'],4.0,6.8,11710.0,8.977,"['drama', 'romance']",6.915
Initial D,1998,TV-14,26,['JP'],6.0,8.4,3082.0,65.264,"['action', 'animation']",8.21
TRIGUN,1998,TV-14,25,['JP'],1.0,8.2,21272.0,24.786,"['action', 'scifi']",8.335
Ally McBeal,1997,,44,['US'],5.0,5.9,213.0,6.556,"['comedy', 'drama']",6.375
NYPD Blue,1993,TV-14,46,['US'],12.0,7.7,13532.0,19.726,"['crime', 'drama']",7.545
Hey Arnold!,1996,TV-Y7,20,['US'],5.0,7.6,33258.0,54.318,"['animation', 'comedy']",7.944999999999999
Animaniacs,1993,TV-Y7,22,['US'],5.0,7.9,23405.0,47.48,"['comedy', 'family']",8.05
Digimon Adventure,1999,TV-Y7,21,['JP'],7.0,7.3,21957.0,74.515,"['fantasy', 'scifi']",7.795
Angel,1999,TV-PG,42,['US'],5.0,7.9,69430.0,63.127,"['fantasy', 'scifi']",8.05
Mobile Suit Gundam Wing,1995,TV-MA,24,['JP'],1.0,8.0,4498.0,20.233,"['drama', 'scifi']",7.74
The Powerpuff Girls,1998,TV-Y7,18,['US'],7.0,7.3,41504.0,44.124,"['action', 'comedy']",7.569999999999999
Rurouni Kenshin,1996,TV-14,25,['JP'],4.0,8.4,19012.0,63.142,"['action', 'fantasy']",8.57
Picket Fences,1992,TV-PG,47,['US'],4.0,7.8,4436.0,8.215,"['crime', 'drama']",7.955
