title,release_year,age_certification,runtime,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,top_genres,average_score
Shots Fired,2017,TV-14,44,['US'],1.0,6.6,2175.0,17.028,"['crime', 'drama']",6.455
Britain's Best Home Cook,2018,,58,['GB'],2.0,7.7,235.0,2.116,['reality'],7.7
Trust Me,2017,TV-14,56,['GB'],2.0,7.0,2783.0,10.722,"['drama', 'thriller']",7.195
Champaign Ill,2018,TV-MA,28,['US'],1.0,7.0,606.0,1.938,['comedy'],6.475
Sword Art Online Alternative: Gun Gale Online,2018,TV-14,23,['JP'],1.0,6.8,2272.0,55.806,"['action', 'scifi']",7.545
The Kids Are Alright,2018,TV-PG,21,['US'],1.0,7.9,3349.0,12.968,['comedy'],7.825
The Mayor,2017,TV-14,21,['US'],1.0,5.6,1647.0,6.92,['comedy'],6.0
Dimension 404,2017,TV-14,43,['US'],1.0,6.5,2518.0,8.305,"['romance', 'scifi']",6.675
Alone Together,2018,TV-14,20,['US'],2.0,6.6,1925.0,13.361,"['comedy', 'drama']",6.41
Clique,2017,TV-MA,44,['GB'],2.0,6.8,2998.0,9.397,"['drama', 'thriller']",6.824999999999999
Find Me in Paris,2018,TV-PG,25,"['DE', 'FR']",3.0,6.9,1534.0,30.993,"['fantasy', 'scifi']",8.09
Dietland,2018,TV-MA,44,['US'],1.0,6.5,2631.0,4.617,"['comedy', 'drama']",6.63
The Other Guy,2017,TV-PG,30,['AU'],2.0,6.8,553.0,1.31,"['comedy', 'drama']",7.05
Unikitty!,2017,TV-Y7,11,"['DK', 'US']",3.0,5.5,1251.0,7.805,"['animation', 'comedy']",6.085
Miz & Mrs,2018,TV-14,22,['US'],3.0,6.3,499.0,7.931,['reality'],7.205
Beat Shazam,2017,TV-14,40,['US'],4.0,5.9,713.0,5.139,"['family', 'reality']",5.655
Safe Harbour,2018,TV-MA,53,['AU'],1.0,6.6,895.0,1.757,['drama'],6.949999999999999
Hitler's Last Stand,2018,TV-14,43,['CA'],3.0,6.3,150.0,4.604,"['documentation', 'history']",6.3
OK K.O.! Let's Be Heroes,2017,TV-PG,11,['US'],3.0,6.5,2908.0,15.008,"['animation', 'family']",7.26
Bad Banks,2018,TV-14,51,"['DE', 'LU']",2.0,7.9,5490.0,11.906,"['crime', 'drama']",7.915
Holly Hobbie,2018,TV-PG,23,['US'],3.0,6.5,241.0,6.927,"['drama', 'music']",7.619999999999999
Pure,2017,TV-MA,41,['CA'],2.0,7.0,1171.0,7.075,"['crime', 'drama']",6.88
Secrets of the Morgue,2018,TV-14,42,['US'],1.0,8.5,82.0,1.442,"['crime', 'thriller']",8.125
Life of Kylie,2017,TV-14,21,['US'],1.0,3.5,1140.0,6.299,['reality'],5.355
Encounter,2018,,67,['KR'],1.0,7.5,1495.0,7.241,"['comedy', 'drama']",7.67
Daytime Divas,2017,TV-14,41,['US'],1.0,6.4,462.0,5.246,"['comedy', 'drama']",5.95
Rel,2018,TV-14,22,['US'],1.0,4.3,906.0,2.712,['comedy'],5.26
Road Trip,2017,,27,['ES'],2.0,7.5,24.0,0.728,"['comedy', 'reality']",7.4
The Bisexual,2018,,29,['GB'],1.0,6.2,1150.0,6.741,"['comedy', 'drama']",6.975
"I Love You, America",2017,TV-MA,29,['US'],2.0,5.7,1272.0,3.872,['comedy'],6.725
BBQuest,2018,,24,['US'],3.0,6.7,24.0,0.833,['documentation'],7.9
Monchhichi Tribe,2017,,11,['FR'],2.0,6.5,38.0,4.67,"['animation', 'european']",6.5
Maxxx,2017,,22,['GB'],2.0,6.5,22.0,3.294,['comedy'],7.575
Impossible Builds,2018,TV-G,48,['US'],1.0,7.4,47.0,0.6,['documentation'],7.35
The Boonies,2017,TV-14,44,['US'],1.0,5.9,31.0,0.6,"['comedy', 'reality']",5.9
Butterfly,2018,,45,['GB'],1.0,6.5,1710.0,4.32,['drama'],6.63
All Night,2018,TV-14,23,['US'],1.0,5.8,603.0,2.627,['comedy'],6.505
Blue Exorcist: Kyoto Saga,2017,TV-14,24,['XX'],1.0,7.4,2342.0,0.272976,"['animation', 'horror']",7.35
Murder on the Internet,2017,,43,['GB'],1.0,6.5,47.0,0.6,"['crime', 'documentation']",6.5
Juda,2017,,43,['IL'],2.0,7.3,279.0,4.985,"['action', 'scifi']",7.3
The Paynes,2018,TV-14,24,['US'],2.0,4.8,367.0,1.937,['comedy'],6.725
Chicken Girls,2017,TV-G,15,['US'],9.0,6.8,670.0,23.929,"['drama', 'family']",7.23
ルパン三世 PART5,2018,TV-14,22,['JP'],1.0,7.9,338.0,14.835612,"['animation', 'thriller']",8.5
Black Love,2017,TV-14,40,['US'],5.0,6.1,386.0,1.843,"['documentation', 'drama']",6.25
Save My Reno,2017,,23,['CA'],3.0,7.4,34.0,0.84,['reality'],7.4
Backyard Builds,2017,,22,['CA'],4.0,8.4,78.0,0.6,['reality'],8.4
Absolutely Ascot,2018,,44,['GB'],2.0,5.3,8.0,1.363,['reality'],5.3
Born Behind Bars,2017,TV-14,42,['US'],1.0,8.4,44.0,0.603,['reality'],8.4
Larrymania,2017,,43,['ES'],1.0,5.9,9.0,0.6,['reality'],5.9
The House with Annabel Crabb,2017,,29,['AU'],1.0,7.6,16.0,0.6,['documentation'],7.6
Dress to Impress,2017,,45,['GB'],1.0,6.0,26.0,5.772,['reality'],5.75
What We Do in the Shadows,2019,TV-MA,24,['US'],3.0,8.6,65144.0,32.569,"['comedy', 'fantasy']",8.355
The Great,2020,TV-MA,53,['US'],2.0,8.2,38963.0,30.694,"['comedy', 'drama']",8.29
Normal People,2020,TV-MA,29,['GB'],1.0,8.4,59026.0,39.901,"['drama', 'romance']",8.3
Devs,2020,TV-MA,51,['US'],1.0,7.7,35655.0,26.748,"['scifi', 'thriller']",7.680000000000001
Big Sky,2020,TV-14,43,['US'],2.0,6.8,16744.0,63.636,"['drama', 'thriller']",7.1850000000000005
The Rising of the Shield Hero,2019,TV-14,24,['JP'],2.0,8.1,11743.0,141.627,"['action', 'scifi']",8.555
Breeders,2020,TV-MA,24,['US'],3.0,7.4,5008.0,18.927,"['comedy', 'drama']",7.575
The Food That Built America,2019,TV-PG,46,['US'],3.0,8.4,994.0,15.987,"['documentation', 'history']",8.57
Godfather of Harlem,2019,TV-MA,53,['US'],2.0,8.0,12921.0,25.816,"['crime', 'drama']",8.145
Woke,2020,TV-MA,26,['US'],2.0,,,25.472,"['comedy', 'drama']",6.67
Dark Side of the Ring,2019,TV-MA,46,['US'],3.0,8.7,2727.0,7.911,"['documentation', 'drama']",8.945
9-1-1: Lone Star,2020,TV-14,44,['US'],3.0,6.9,13269.0,176.221,"['action', 'drama']",7.55
Transplant,2020,TV-14,42,['CA'],2.0,7.8,3837.0,39.155,['drama'],7.91
Kaguya-sama: Love is War,2019,TV-14,24,['JP'],3.0,8.5,10391.0,141.256,"['comedy', 'drama']",8.71
LEGO Masters US,2020,TV-PG,42,['US'],3.0,7.4,2104.0,9.057,['reality'],7.935
The Hardy Boys,2020,TV-PG,43,['US'],2.0,7.0,2174.0,28.27,"['drama', 'family']",7.645
Holey Moley,2019,TV-PG,42,['US'],4.0,7.0,1025.0,16.798,['reality'],7.96
Good Trouble,2019,TV-14,43,['US'],4.0,7.4,6620.0,51.729,"['drama', 'romance']",7.71
Catch-22,2019,TV-MA,44,['US'],1.0,7.8,17088.0,11.1,"['thriller', 'war']",7.819999999999999
The Act,2019,TV-MA,53,['US'],1.0,7.9,25579.0,80.964,"['crime', 'drama']",7.825
Dave,2020,TV-MA,29,['US'],3.0,8.3,17856.0,11.895,"['comedy', 'music']",8.16
The Masked Singer,2019,TV-14,49,['US'],7.0,5.8,4297.0,35.864,"['music', 'reality']",7.27
Everything's Gonna Be Okay,2020,TV-14,21,['US'],2.0,7.4,2492.0,3.588,"['comedy', 'drama']",7.755000000000001
Mrs. America,2020,TV-MA,49,['US'],1.0,7.8,11305.0,17.497,"['drama', 'history']",7.865
The Hot Zone,2019,TV-14,48,['US'],2.0,7.3,8589.0,23.104,"['drama', 'history']",7.345
PEN15,2019,TV-MA,31,['US'],2.0,8.1,10505.0,8.394,['comedy'],8.195
Solar Opposites,2020,TV-MA,23,['US'],4.0,8.0,18753.0,1.4,"['comedy', 'scifi']",8.055
The Real Housewives of Salt Lake City,2020,,45,['US'],2.0,,,24.949,['reality'],5.680000000000001
Little Fires Everywhere,2020,TV-MA,58,['US'],1.0,7.7,42610.0,37.758,['drama'],7.994999999999999
Weakest Link,2020,,43,['US'],2.0,6.9,468.0,3.24,['reality'],7.685
NOS4A2,2019,TV-14,45,['US'],2.0,6.6,8978.0,26.91,"['drama', 'scifi']",7.175
Fire Force,2019,TV-14,24,['JP'],2.0,7.6,6329.0,34.173,"['action', 'scifi']",8.215
Dollface,2019,TV-MA,26,['US'],2.0,7.5,8223.0,10.736,"['comedy', 'scifi']",7.625
Motherland: Fort Salem,2020,TV-14,42,['US'],3.0,7.1,13438.0,26.199,"['fantasy', 'scifi']",7.739999999999999
This Way Up,2019,,24,['GB'],2.0,7.8,5942.0,5.365,['comedy'],7.64
Treadstone,2019,TV-MA,43,['US'],1.0,7.0,10281.0,22.851,['action'],7.375
"Love, Victor",2020,TV-14,29,['US'],3.0,8.1,14447.0,71.148,"['comedy', 'drama']",8.465
I Am the Night,2019,TV-MA,51,['US'],1.0,6.9,7882.0,15.038,"['crime', 'thriller']",6.875
Ramy,2019,TV-MA,28,['US'],2.0,8.0,12775.0,14.854,"['comedy', 'drama']",7.875
Fruits Basket,2019,TV-14,24,['JP'],3.0,8.6,5580.0,53.312,"['comedy', 'drama']",8.625
Dicktown,2020,,14,['US'],2.0,6.7,561.0,4.143,"['animation', 'comedy']",6.234999999999999
Fosse/Verdon,2019,TV-MA,50,['US'],1.0,7.9,6157.0,7.535,"['drama', 'music']",7.96
Shrill,2019,TV-MA,24,['US'],3.0,7.4,7946.0,9.204,"['comedy', 'drama']",7.08
High Fidelity,2020,TV-MA,30,['US'],1.0,7.7,11599.0,16.666,"['comedy', 'drama']",7.949999999999999
A Teacher,2020,TV-MA,25,['US'],1.0,6.9,12397.0,20.774,['drama'],7.325
The Devil You Know,2019,TV-MA,43,['US'],2.0,7.0,681.0,0.843,"['crime', 'documentation']",7.42
All Rise,2019,TV-PG,43,['US'],2.0,6.7,4577.0,12.258,"['crime', 'drama']",7.314999999999999
Wu-Tang: An American Saga,2019,TV-MA,50,['US'],3.0,8.4,6705.0,17.311,['drama'],8.435
Digimon Adventure,2020,TV-G,24,['JP'],1.0,7.0,547.0,52.212,"['family', 'scifi']",7.375
Brassic,2019,TV-MA,39,['GB'],4.0,8.4,8080.0,11.565,"['comedy', 'drama']",8.885000000000002
Animaniacs,2020,TV-PG,16,['US'],2.0,7.7,3040.0,53.638,"['animation', 'comedy']",8.219999999999999
Looking for Alaska,2019,TV-MA,53,['US'],1.0,8.1,10088.0,15.344,"['drama', 'romance']",8.105
Arifureta: From Commonplace to World's Strongest,2019,TV-14,23,['JP'],2.0,7.1,2573.0,13.919,"['fantasy', 'scifi']",7.965
Pretty Little Liars: The Perfectionists,2019,TV-14,42,['US'],1.0,7.1,5318.0,25.677,"['crime', 'thriller']",7.605
Trafficked with Mariana Van Zeller,2020,TV-14,46,['US'],3.0,8.4,680.0,6.18,['documentation'],8.975000000000001
Duncanville,2020,TV-14,21,['US'],3.0,6.0,1904.0,33.958,"['animation', 'comedy']",7.1
Helstrom,2020,TV-MA,50,['US'],1.0,6.7,8366.0,20.61,"['fantasy', 'scifi']",6.955
The Sister,2020,,45,['GB'],1.0,,,6.688,"['crime', 'drama']",7.39
The Accident,2019,,47,['GB'],1.0,,,3.958,"['drama', 'thriller']",6.49
For Life,2020,TV-14,43,['US'],2.0,7.6,7870.0,29.163,"['crime', 'drama']",7.944999999999999
Black Narcissus,2020,TV-MA,56,['US'],1.0,5.8,2706.0,8.274,['drama'],6.64
A Christmas Carol,2019,TV-MA,56,"['GB', 'US']",1.0,7.2,10520.0,0.6,"['animation', 'drama']",7.430000000000001
Monsterland,2020,TV-MA,50,['US'],1.0,5.6,2712.0,13.762,"['drama', 'fantasy']",6.404999999999999
Flower of Evil,2020,,65,['KR'],1.0,,,26.05,['drama'],8.379999999999999
Wise Man’s Grandchild,2019,TV-14,23,['JP'],1.0,6.8,2120.0,59.861,"['animation', 'scifi']",7.635
Toilet-Bound Hanako-kun,2020,TV-14,24,['JP'],1.0,7.8,6.0,87.025,['comedy'],8.36
Accused: Guilty or Innocent?,2020,TV-14,46,['US'],2.0,8.2,225.0,1.879,['documentation'],8.875
Bless This Mess,2019,TV-PG,21,['US'],2.0,6.8,3890.0,12.62,['comedy'],6.869999999999999
Four Weddings and a Funeral,2019,TV-MA,48,['US'],1.0,7.2,5425.0,6.952,"['comedy', 'romance']",7.295
"Bofuri: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.",2020,TV-14,23,['JP'],2.0,7.5,1474.0,29.469,"['animation', 'scifi']",7.625
A Wilderness of Error,2020,,47,['US'],1.0,,,2.488,['documentation'],5.77
Grand Hotel,2019,TV-PG,43,['US'],1.0,7.1,3505.0,14.219,"['crime', 'drama']",7.335
Yashahime: Princess Half-Demon,2020,TV-14,24,['JP'],2.0,,,68.223,['action'],7.839999999999999
Jann,2019,TV-PG,21,['CA'],3.0,7.2,529.0,1.127,['comedy'],7.2
Dragon Quest: The Adventure of Dai,2020,,24,['JP'],1.0,8.0,810.0,67.456,"['action', 'scifi']",8.19
Supermarket Sweep,2020,TV-PG,42,['US'],3.0,5.2,620.0,1.102,['family'],7.015000000000001
The Most Dangerous Animal of All,2020,TV-14,44,['US'],1.0,6.3,899.0,2.019,"['crime', 'documentation']",7.115
Press Your Luck,2019,TV-PG,46,['US'],3.0,6.1,355.0,5.302,['family'],7.06
Plunderer,2020,TV-14,23,['JP'],1.0,6.3,1080.0,40.102,"['animation', 'scifi']",7.43
Soundtrack,2019,TV-MA,50,['US'],1.0,6.6,2106.0,5.931,"['drama', 'music']",6.68
Madagascar: A Little Wild,2020,TV-Y,23,['US'],7.0,5.6,195.0,49.374,"['animation', 'comedy']",6.539999999999999
The New York Times Presents,2020,TV-MA,55,['US'],1.0,,,4.459,['documentation'],7.479999999999999
Cake,2019,TV-MA,24,['US'],5.0,,,3.667,"['animation', 'comedy']",6.4
Mr. Queen,2020,,71,['KR'],1.0,8.8,4448.0,36.249,"['drama', 'scifi']",8.86
Trolls: TrollsTopia,2020,TV-Y7,24,['US'],6.0,7.3,115.0,13.303,"['comedy', 'family']",8.469999999999999
Kemono Michi: Rise Up,2019,,23,['JP'],1.0,,,11.855,"['action', 'scifi']",5.5
Reprisal,2019,TV-MA,51,['US'],1.0,7.3,4340.0,18.706,"['crime', 'drama']",7.48
Astra Lost in Space,2019,TV-14,27,['JP'],2.0,8.0,1315.0,13.972,"['animation', 'scifi']",8.055
Sarah Beeny's Renovate Don't Relocate,2019,,44,['GB'],2.0,6.8,28.0,2.669,['reality'],7.05
Taste the Nation with Padma Lakshmi,2020,,32,['US'],2.0,8.2,504.0,2.224,['reality'],8.649999999999999
Beyond Oak Island,2020,TV-PG,42,['US'],2.0,6.0,211.0,4.458,"['documentation', 'reality']",7.1
Akudama Drive,2020,TV-MA,22,['JP'],1.0,,,16.089,"['action', 'scifi']",8.2
Party of Five,2020,TV-14,44,['US'],1.0,5.4,1199.0,4.331,"['drama', 'family']",6.845
Bloom,2019,,45,['AU'],2.0,6.6,1601.0,15.783,"['drama', 'scifi']",7.039999999999999
City So Real,2020,,67,['US'],1.0,7.6,276.0,0.873,['documentation'],7.6
I Can See Your Voice,2020,,51,['US'],2.0,5.6,433.0,2.883,"['music', 'reality']",7.35
Deutschland 89,2020,TV-MA,50,['DE'],1.0,7.8,2594.0,3.514,"['drama', 'war']",7.01
We Never Learn: BOKUBEN,2019,TV-14,23,['JP'],2.0,7.0,902.0,28.066,"['animation', 'comedy']",7.915
Azur Lane,2019,TV-14,24,['JP'],1.0,5.6,269.0,13.521,"['fantasy', 'scifi']",6.855
When the Weather is Fine,2020,,60,['KR'],1.0,,,14.738,['drama'],8.56
Wall of Chefs,2020,,45,['CA'],2.0,6.6,44.0,1.34,['reality'],6.6
Deca-Dence,2020,TV-14,23,['JP'],1.0,7.0,1152.0,15.523,"['animation', 'scifi']",7.555000000000001
Marrying Millions,2019,TV-14,41,['US'],2.0,5.0,187.0,3.728,['reality'],6.375
ID: INVADED,2020,TV-MA,24,['JP'],1.0,7.6,1342.0,14.111,"['action', 'scifi']",7.27
Making It Home with Kortney & Dave,2020,,42,['CA'],2.0,6.2,37.0,0.621,['reality'],6.2
Zomboat!,2019,,23,['GB'],1.0,7.0,1808.0,5.59,"['comedy', 'horror']",7.15
Ladhood,2019,,23,['GB'],2.0,7.1,803.0,2.484,['comedy'],7.515
Cautious Hero: The Hero Is Overpowered but Overly Cautious,2019,TV-14,24,['JP'],1.0,,,22.441,"['scifi', 'war']",8.92
Kings of Pain,2019,TV-14,39,['US'],1.0,6.7,407.0,1.258,"['documentation', 'reality']",8.125
Crossing Swords,2020,TV-MA,23,['US'],2.0,6.7,1512.0,9.224,"['animation', 'comedy']",7.045
Sherman's Showcase,2019,TV-MA,21,['US'],1.0,6.5,325.0,4.647,"['comedy', 'music']",6.5
Wandering Witch: The Journey of Elaina,2020,TV-14,24,['JP'],1.0,7.0,782.0,11.791,"['action', 'scifi']",7.33
Endlings,2020,TV-PG,22,['CA'],2.0,4.9,345.0,4.281,"['action', 'scifi']",6.415
Live In Front of a Studio Audience,2019,TV-14,64,['US'],1.0,8.1,14.0,1.875,"['comedy', 'family']",7.699999999999999
Kono Oto Tomare!: Sounds of Life,2019,TV-PG,23,['JP'],2.0,7.9,820.0,19.919,"['comedy', 'drama']",7.689999999999999
No Guns Life,2019,TV-14,23,['JP'],2.0,6.7,592.0,41.594,"['animation', 'scifi']",6.595000000000001
60 Days In: Narcoland,2019,TV-14,43,['US'],1.0,6.2,74.0,0.84,"['documentation', 'reality']",6.975
Baghdad Central,2020,TV-14,47,['GB'],1.0,7.3,1513.0,9.136,"['crime', 'war']",7.119999999999999
Momma Named Me Sheriff,2019,TV-MA,12,['US'],2.0,6.1,622.0,9.607,"['animation', 'comedy']",6.115
Bless the Harts,2019,TV-14,22,['US'],2.0,5.6,1966.0,6.908,"['animation', 'comedy']",6.135
Stars Align,2019,TV-14,24,['JP'],1.0,7.4,448.0,16.13,"['drama', 'sport']",8.07
Kuma Kuma Kuma Bear,2020,TV-14,23,['JP'],2.0,,,14.328,"['action', 'scifi']",8.56
Smile Down the Runway,2020,TV-14,24,['JP'],1.0,6.7,214.0,10.396,"['animation', 'comedy']",7.27
Your Home Made Perfect,2019,,59,['GB'],2.0,8.4,200.0,0.813,['reality'],7.4
Many Sides of Jane,2019,TV-14,43,['US'],1.0,5.7,186.0,0.6,"['documentation', 'reality']",3.8
Hillary,2020,TV-PG,61,['US'],1.0,6.6,2569.0,1.64,"['documentation', 'war']",6.545
Blind Date,2019,,21,['US'],1.0,5.8,33.0,0.868,"['comedy', 'romance']",5.8
Narco Wars,2020,TV-14,44,['US'],2.0,8.6,203.0,4.643,"['crime', 'documentation']",7.5
Fairy Gone,2019,,23,['JP'],2.0,5.8,346.0,6.423,"['action', 'scifi']",6.19
The Day I Became a God,2020,TV-14,24,['JP'],1.0,,,25.539,"['animation', 'scifi']",8.379999999999999
Our Last Crusade or the Rise of a New World,2020,TV-14,23,['JP'],1.0,,,23.228,"['scifi', 'war']",8.47
Where's Waldo?,2019,TV-Y7,22,['US'],2.0,7.5,92.0,3.544,"['animation', 'comedy']",8.75
Dead By Dawn,2019,TV-14,44,['US'],1.0,7.1,111.0,0.6,"['documentation', 'horror']",6.75
Superstructures: Engineering Marvels,2019,TV-G,45,['US'],1.0,7.2,27.0,1.569,['documentation'],7.2
Cleopatra in Space,2019,TV-Y7,21,['US'],3.0,6.3,187.0,2.155,"['comedy', 'family']",8.06
Forged in Fire: Beat the Judges,2020,TV-PG,41,['US'],1.0,8.4,144.0,4.794,['reality'],8.885000000000002
Children of the Snow,2019,TV-14,64,['US'],1.0,7.0,252.0,0.783,"['crime', 'documentation']",7.15
mixed-ish,2019,TV-PG,21,['US'],2.0,6.3,2433.0,13.051,"['comedy', 'family']",7.43
Littlekenny,2019,,2,['CA'],1.0,6.8,277.0,0.644,"['animation', 'comedy']",6.15
Apollo: Back to the Moon,2019,,44,['FR'],1.0,,,2.005,['documentation'],7.93
The Masked Dancer,2020,,61,['GB'],1.0,4.3,53.0,3.951,['reality'],5.98
By the Grace of the Gods,2020,TV-14,24,['JP'],1.0,7.1,763.0,32.994,"['animation', 'scifi']",7.83
Love in the Time of Corona,2020,TV-14,29,['US'],1.0,5.8,473.0,2.696,"['comedy', 'drama']",5.875
Case File nº221: Kabukicho,2019,,24,['JP'],1.0,6.2,191.0,15.367,"['animation', 'thriller']",5.805
Lost Gold of World War II,2019,TV-PG,40,['US'],2.0,6.4,383.0,2.389,"['documentation', 'reality']",6.85
Arte,2020,TV-14,24,['JP'],1.0,6.9,356.0,18.371,"['animation', 'drama']",7.280000000000001
Kids Behind Bars: Life or Parole,2019,TV-14,43,['US'],2.0,6.8,133.0,0.6,"['crime', 'documentation']",7.5
After School Dice Club,2019,TV-14,23,['JP'],1.0,6.6,154.0,7.865,"['animation', 'comedy']",7.399999999999999
Utopia Falls,2020,TV-PG,45,['CA'],1.0,4.9,1820.0,10.629,"['drama', 'scifi']",6.280000000000001
"Demon Lord, Retry!",2019,TV-14,23,['JP'],1.0,6.7,774.0,7.169,"['animation', 'scifi']",7.359999999999999
More Than Friends,2020,,68,['KR'],1.0,6.7,351.0,9.922,"['drama', 'romance']",6.550000000000001
Appare-Ranman!,2020,TV-14,23,['JP'],1.0,6.8,359.0,32.154,"['action', 'animation']",7.095
Buried Secrets of WWII,2019,TV-14,44,['GB'],1.0,7.5,43.0,3.044,"['documentation', 'war']",7.85
Jamie: Keep Cooking and Carry On,2020,,23,['GB'],1.0,7.9,45.0,3.263,['reality'],7.6
First Day,2020,,23,['AU'],2.0,6.3,178.0,3.249,['drama'],8.15
Afterlost,2019,,23,['JP'],1.0,5.2,128.0,24.258,"['action', 'scifi']",5.35
Pikwik Pack,2020,TV-Y,12,['US'],1.0,8.6,56.0,2.101,['animation'],8.6
Listeners,2020,TV-14,24,['JP'],1.0,5.1,125.0,5.835,"['music', 'scifi']",6.289999999999999
Mix: Meisei Story,2019,,23,['JP'],1.0,7.3,61.0,15.17,"['animation', 'drama']",8.065
The First 48 Presents: Homicide Squad Atlanta,2019,TV-14,43,['US'],1.0,8.2,263.0,0.6,"['crime', 'reality']",7.75
My Absolute Boyfriend,2019,,34,['KR'],1.0,7.1,293.0,6.112,"['comedy', 'fantasy']",7.515
Shironeko Project: Zero Chronicle,2020,TV-MA,23,['JP'],1.0,,,9.501,"['action', 'animation']",6.76
Infinite Dendrogram,2020,TV-14,23,['JP'],1.0,5.9,361.0,11.694,"['action', 'animation']",6.33
Big Food Bucket List,2019,,24,['US'],2.0,7.7,14.0,3.244,['reality'],7.7
Drag SOS,2019,,47,['GB'],1.0,8.1,123.0,0.863,['reality'],8.1
Earth Odyssey with Dylan Dreyer,2019,TV-PG,20,['US'],4.0,8.1,37.0,7.855,['documentation'],8.1
BEM,2019,,24,['JP'],1.0,5.9,193.0,11.087,"['animation', 'scifi']",6.555
The Ones Within,2019,,23,['JP'],2.0,6.3,158.0,15.427,"['animation', 'comedy']",7.025
Dani Who?,2019,,48,['MX'],1.0,6.7,110.0,6.598,"['scifi', 'thriller']",7.359999999999999
Escape from the City,2019,,57,['AU'],2.0,8.8,15.0,2.217,['reality'],5.800000000000001
Texicanas,2019,TV-14,43,['US'],1.0,5.5,97.0,0.84,['reality'],5.5
The Untold Story,2019,TV-14,62,['US'],1.0,7.1,25.0,0.6,['documentation'],7.1
Cop Craft,2019,TV-MA,23,['JP'],1.0,6.6,402.0,30.248,"['action', 'scifi']",6.949999999999999
Attaway General,2020,TV-Y7,13,['US'],3.0,1.0,2526.0,3.111,['drama'],3.3400000000000003
Sorcerous Stabber Orphen,2020,TV-14,23,['JP'],2.0,,,17.737,['animation'],7.839999999999999
The Weekly,2019,TV-MA,36,['US'],1.0,6.7,298.0,1.329,"['documentation', 'sport']",5.875
Phantasy Star Online 2: Episode Oracle,2019,,24,['JP'],1.0,5.9,17.0,1.841,"['action', 'animation']",7.5
The School That Tried To End Racism,2019,,47,['GB'],1.0,4.7,95.0,1.138,['documentation'],6.449999999999999
Cheerleader Generation,2019,TV-PG,41,['US'],1.0,7.2,52.0,1.215,['reality'],8.465
Stand My Heroes: Piece of Truth,2019,,24,['JP'],1.0,6.9,54.0,7.202,['animation'],6.109999999999999
Hot Market,2020,,44,['CA'],1.0,8.1,16.0,0.6,['reality'],8.1
Inside Missguided: Made In Manchester,2020,,46,['GB'],1.0,6.2,8.0,0.619,['documentation'],6.2
RobiHachi,2019,,24,['JP'],1.0,5.8,104.0,4.667,"['action', 'comedy']",6.234999999999999
Drug Lords: The Next Generation,2020,,43,['US'],1.0,8.1,33.0,0.6,"['crime', 'documentation']",8.825
Quarter Life Poetry,2019,,3,['US'],1.0,8.7,42.0,1.4,"['comedy', 'drama']",8.7
America: Our Defining Hours,2020,TV-14,84,['US'],1.0,6.5,15.0,0.6,['history'],8.25
Vegas Chef Prizefight,2020,TV-G,42,['US'],1.0,6.4,45.0,1.027,['reality'],6.4
Salvage Kings,2019,,46,['CA'],2.0,8.2,68.0,1.256,['reality'],8.2
The Bravest Knight,2019,TV-Y7,11,['US'],1.0,6.3,110.0,2.116,"['animation', 'family']",6.9350000000000005
The Mighty Ones,2020,TV-Y7,23,['US'],2.0,,,2.545,['comedy'],9.1
Family Home Overhaul,2020,,44,['CA'],1.0,,,2.12,['reality'],10.0
Activate: The Global Citizen Movement,2019,TV-MA,43,['US'],1.0,5.1,31.0,1.917,['documentation'],5.1
Under the Banner of Heaven,2022,TV-MA,65,['US'],1.0,7.4,1950.0,27.174,"['crime', 'drama']",8.43
Abbott Elementary,2021,TV-PG,21,['US'],2.0,8.2,7765.0,7.883,['comedy'],7.795
The Thing About Pam,2022,TV-14,43,['US'],1.0,7.0,3195.0,8.641,"['crime', 'drama']",7.42
The Dropout,2022,TV-MA,50,['US'],1.0,7.5,13223.0,54.317,['drama'],7.76
Candy,2022,TV-MA,0,['US'],1.0,7.2,301.0,36.775,"['crime', 'drama']",7.2
The Girl From Plainville,2022,TV-MA,45,['US'],1.0,6.5,2633.0,22.769,"['crime', 'drama']",7.26
SPY x FAMILY,2022,TV-14,24,['JP'],1.0,9.0,5847.0,1199.38,"['action', 'comedy']",8.96
Only Murders in the Building,2021,TV-MA,32,['US'],2.0,8.1,66669.0,61.02,"['comedy', 'thriller']",8.419999999999998
Captive Audience: A Real American Horror Story,2022,,46,['US'],1.0,,,6.902,"['crime', 'documentation']",10.0
The Endgame,2022,TV-14,42,['US'],1.0,6.6,4347.0,16.351,"['crime', 'drama']",7.715
Dopesick,2021,TV-MA,62,['US'],1.0,8.7,42231.0,16.001,['drama'],8.495
Mr. Mayor,2021,TV-14,22,['US'],2.0,6.3,4059.0,24.496,['comedy'],6.665
Life & Beth,2022,,29,['US'],1.0,,,4.404,"['comedy', 'drama']",6.85
Young Rock,2021,TV-14,23,['US'],2.0,7.9,16113.0,56.278,['comedy'],7.645
The Ignorant Angels,2022,,49,['IT'],1.0,,,5.859,['drama'],7.57
Pam & Tommy,2022,TV-MA,43,['US'],1.0,7.3,26768.0,100.676,"['comedy', 'drama']",7.525
The Kardashians,2022,TV-14,47,['US'],1.0,4.1,879.0,681.069,"['drama', 'reality']",6.735
