title,type,release_year,age_certification,runtime,genre,production_countries,seasons,imdb_votes,tmdb_popularity,average_score
Kyaa Kool Hai Hum,MOVIE,2005,,172,comedy,['IN'],,3537,4.797,5.8
Chennai Express,MOVIE,2013,PG-13,141,romance,['IN'],,53939,8.622,6.47
Jackass 3.5,MOVIE,2011,,85,comedy,['US'],,,19.565,6.67
Doctor Bello,MOVIE,2013,,95,drama,"['NG', 'US']",,54,1.802,5.6
The Butler,MOVIE,2013,PG-13,132,drama,['US'],,114768,15.115,7.409750000000001
Hitch,MOVIE,2005,PG-13,115,comedy,['US'],,313342,44.012,6.725
The Hitchhiker's Guide to the Galaxy,MOVIE,2005,PG,109,comedy,"['GB', 'US']",,196326,18.795,6.865
Grudge Match,MOVIE,2013,PG-13,113,comedy,['US'],,60037,15.809,6.4
Rush,MOVIE,2013,R,123,drama,"['DE', 'GB', 'US']",,471586,29.759,8.015
Theeya Velai Seiyyanum Kumaru,MOVIE,2013,,125,comedy,['IN'],,30,2.895,5.67
Naruto Shippuden the Movie: Blood Prison,MOVIE,2011,PG-13,108,action,['JP'],,5104,184.852,7.29
Fun with Dick and Jane,MOVIE,2005,PG-13,90,comedy,['US'],,143998,15.505,6.34
Dirty Movie,MOVIE,2011,R,91,comedy,['US'],,3327,3.697,3.58
Gori Tere Pyaar Mein,MOVIE,2013,,150,comedy,['IN'],,3861,4.555,5.695
Delhi Belly,MOVIE,2011,,102,comedy,['IN'],,29927,6.638,7.4
Todd Glass Talks About Stuff,MOVIE,2013,,46,comedy,['US'],,,1.801,
Police Academy,MOVIE,1984,R,97,crime,['US'],,124881,25.533,6.82
Getting Go: The Go Doc Project,MOVIE,2013,,91,drama,['US'],,2828,3.74,6.875
Wedding Association,MOVIE,2013,PG-13,106,comedy,['XX'],,22458,4.209,6.835
Naruto: Legend of the Stone of Gelel,MOVIE,2005,PG-13,96,fantasy,['JP'],,4380,41.579,6.67
The Face of Love,MOVIE,2013,PG-13,92,romance,['US'],,5510,10.754,6.390000000000001
Pyaar Ka Punchnama,MOVIE,2011,PG-13,149,romance,['IN'],,21521,4.851,7.449999999999999
Chillar Party,MOVIE,2011,G,130,comedy,['IN'],,7831,2.552,7.4
Sherlock Holmes: A Game of Shadows,MOVIE,2011,PG-13,129,action,"['GB', 'US']",,449965,51.119,7.395
Blind Intersections,MOVIE,2013,,87,drama,"['AE', 'LB']",,176,1.262,5.824999999999999
Phantom,MOVIE,2013,R,99,thriller,['US'],,14275,22.148,6.105
Hostel: Part III,MOVIE,2011,R,87,horror,['US'],,,32.7,5.59
Bombay Talkies,MOVIE,2013,PG-13,127,drama,['IN'],,5402,4.389,6.725
Scary Movie 5,MOVIE,2013,PG-13,89,comedy,['US'],,71405,122.985,4.41
Journey to the South Pacific,MOVIE,2013,G,40,documentation,['US'],,160,3.017,6.3100000000000005
The Midas Touch,MOVIE,2013,,99,comedy,['HK'],,190,1.883,4.8
Settai,MOVIE,2013,,136,comedy,['IN'],,525,2.696,5.045
Romantik Komedi 2: Bekarlığa Veda,MOVIE,2013,,105,comedy,['XX'],,3383,4.536,5.345
Mood Indigo,MOVIE,2013,,131,fantasy,"['BE', 'FR']",,15877,10.096,6.54
7 Khoon Maaf,MOVIE,2011,,148,thriller,['IN'],,5969,5.469,6.4350000000000005
Gimme the Loot,MOVIE,2012,,79,comedy,['US'],,2533,1.953,6.635
My Santa,MOVIE,2013,PG,84,family,['US'],,1045,4.725,5.77
Drinking Buddies,MOVIE,2013,R,95,drama,['US'],,58224,9.785,6.25
Shaitan,MOVIE,2011,PG-13,121,drama,['IN'],,8475,4.098,6.98
Once Upon a Time in America,MOVIE,1984,R,229,drama,"['IT', 'US']",,342335,21.322,8.43
Insidious: Chapter 2,MOVIE,2013,PG-13,106,horror,['US'],,169039,68.55,6.765000000000001
The Haunting in Connecticut 2: Ghosts of Georgia,MOVIE,2013,R,101,thriller,['US'],,17264,27.261,5.71
Jinxed,MOVIE,2013,G,70,comedy,"['CA', 'US']",,1488,6.357,6.665
LEGO Marvel Super Heroes: Maximum Overload,MOVIE,2013,PG,20,action,['US'],,,10.788,6.58
Giraffada,MOVIE,2014,,85,drama,"['DE', 'FR', 'IT', 'PS']",,243,3.451,6.26
The Railway Man,MOVIE,2013,R,116,drama,"['AU', 'CH', 'GB']",,40175,8.518,7.155
Race 2,MOVIE,2013,,150,thriller,['IN'],,16455,4.49,5.67
The Frozen Ground,MOVIE,2013,R,105,thriller,['US'],,62972,10.449,6.535
Here Comes the Rain,MOVIE,2011,,100,drama,['LB'],,63,0.88,6.3
Beautiful Creatures,MOVIE,2013,PG-13,124,fantasy,['US'],,87271,18.571,6.25
Once Upon a Time in Mumbai Dobaara!,MOVIE,2013,,160,action,['IN'],,7204,3.627,5.175000000000001
Zathura: A Space Adventure,MOVIE,2005,PG,101,action,['US'],,102445,30.576,6.48
Jeff Dunham: Controlled Chaos,MOVIE,2011,,90,comedy,['US'],,2296,2.89,7.035
Before Midnight,MOVIE,2013,R,109,drama,"['GR', 'US']",,153949,14.11,7.825
Zokkomon,MOVIE,2011,PG,109,fantasy,['IN'],,411,1.927,5.5600000000000005
Zindagi Na Milegi Dobara,MOVIE,2011,PG,166,romance,['IN'],,76565,11.997,7.97
3 Ninjas Kick Back,MOVIE,1994,PG,93,comedy,"['JP', 'US']",,9321,12.603,5.225
Marc Maron: Thinky Pain,MOVIE,2013,,90,comedy,['US'],,1892,2.675,7.390000000000001
Omar,MOVIE,2013,,96,romance,['PS'],,14318,0.6,7.49
Kai Po Che!,MOVIE,2013,,126,drama,['IN'],,36784,6.691,7.5
Olympus Has Fallen,MOVIE,2013,R,120,action,['US'],,274270,55.607,6.630000000000001
From One Second to the Next,MOVIE,2013,,34,documentation,['US'],,,4.02,7.39
Ghadi,MOVIE,2013,PG-13,100,drama,['LB'],,1128,2.793,7.075
Silenced,MOVIE,2011,,125,drama,['KR'],,16423,32.829,8.145
Glee: The Concert Movie,MOVIE,2011,PG,84,documentation,['US'],,5829,12.052,6.58
Dabbe: The Possession,MOVIE,2013,,120,horror,['TR'],,5831,5.475,6.6
Madras Cafe,MOVIE,2013,PG-13,130,action,['IN'],,24506,7.356,7.27
Don 2,MOVIE,2011,,139,action,"['DE', 'IN']",,52750,9.333,7.15
Donald Glover: Weirdo,MOVIE,2012,,65,comedy,['US'],,3584,5.743,7.26
A Second Chance,MOVIE,2011,,90,drama,['AU'],,1030,6.388,5.640000000000001
Oldboy,MOVIE,2013,R,104,action,['US'],,75728,20.164,6.005000000000001
Escape from Planet Earth,MOVIE,2012,PG,89,scifi,"['CA', 'US']",,25734,18.259,5.965
Striking Distance,MOVIE,1993,R,101,thriller,['US'],,42306,9.654,6.01
SDU: Sex Duties Unit,MOVIE,2013,,94,comedy,['HK'],,492,3.625,6.0600000000000005
Birth Reborn,MOVIE,2013,,91,documentation,['BR'],,252,1.248,7.46
Ghanchakkar,MOVIE,2013,PG,137,thriller,['IN'],,5052,4.012,5.875
Dreamer: Inspired By a True Story,MOVIE,2005,PG,106,family,['US'],,13205,10.235,7.005000000000001
Sinbad: Afros and Bellbottoms,MOVIE,1993,PG-13,60,comedy,['US'],,172,3.793,6.875
Tru Love,MOVIE,2013,,94,romance,['CA'],,805,3.505,6.130000000000001
Damini,MOVIE,1993,,175,drama,['IN'],,3523,3.328,7.6850000000000005
Inkaar,MOVIE,2013,R,133,drama,['IN'],,2586,2.882,6.07
Texas Chainsaw 3D,MOVIE,2013,R,87,thriller,['US'],,49312,53.401,5.33
Dhobi Ghat,MOVIE,2010,,102,drama,['IN'],,13167,7.689,6.880000000000001
Elena,MOVIE,2013,PG-13,82,documentation,"['BR', 'US']",,1823,4.427,7.63
Elaine Stritch: Shoot Me,MOVIE,2013,,80,documentation,['US'],,948,4.433,7.625
The Legend of Zorro,MOVIE,2005,PG,131,action,"['MX', 'US']",,100856,22.267,6.195
SampleThis,MOVIE,2013,,85,documentation,['US'],,471,1.8,6.67
Fukrey,MOVIE,2013,PG-13,137,drama,['IN'],,11780,4.383,7.01
How I Live Now,MOVIE,2013,R,101,drama,['GB'],,30034,12.317,6.67
Treading Water,MOVIE,2013,,92,drama,"['CA', 'MX']",,686,4.049,6.02
ABCD,MOVIE,2013,PG-13,136,music,['IN'],,6960,3.347,6.395
Boss,MOVIE,2013,PG-13,143,comedy,['IN'],,11159,3.181,5.615
The Land of Cards,MOVIE,2013,,110,fantasy,['IN'],,412,3.983,6.175000000000001
No Direction Home: Bob Dylan,MOVIE,2005,G,208,documentation,"['GB', 'JP', 'US']",,,7.58,7.930000000000001
Dealin' with Idiots,MOVIE,2013,,87,comedy,['US'],,1387,4.35,5.630000000000001
Cliffhanger,MOVIE,1993,R,112,action,"['FR', 'IT', 'US']",,128972,27.78,6.675000000000001
Instructions Not Included,MOVIE,2013,PG-13,122,comedy,['MX'],,30679,33.144,7.715
Somm,MOVIE,2013,,93,documentation,['US'],,4712,5.472,7.15
What the Fish,MOVIE,2013,PG-13,98,drama,['IN'],,211,1.349,5.575
Last Action Hero,MOVIE,1993,PG-13,131,action,['US'],,150498,22.196,6.57055
Philomena,MOVIE,2013,PG-13,97,drama,['GB'],,99647,9.752,7.63
The Square,MOVIE,2013,,88,documentation,"['EG', 'GB', 'US']",,8949,5.434,8.059999999999999
A Field in England,MOVIE,2013,,90,horror,['GB'],,12580,6.052,6.4350000000000005
She's The One,MOVIE,2013,,110,romance,['PH'],,210,1.282,6.4399999999999995
Made in America,MOVIE,1993,PG-13,111,comedy,['US'],,16742,8.392,5.475
In the Line of Fire,MOVIE,1993,R,128,drama,['US'],,102916,19.8,7.23785
Cloudy with a Chance of Meatballs 2,MOVIE,2013,PG,95,animation,['US'],,102071,64.17,6.5493500000000004
Borgman,MOVIE,2013,,113,thriller,"['BE', 'DK', 'NL']",,17639,8.462,6.82
Must Be... Love,MOVIE,2013,,105,comedy,['PH'],,531,2.345,6.4
Animal Crackers,MOVIE,2017,PG,105,animation,"['CN', 'ES', 'US']",,3422,32.235,6.234999999999999
Sankofa,MOVIE,1993,,124,drama,"['BF', 'DE', 'GB', 'GH', 'US']",,692,1.858,6.925000000000001
Christmas Belle,MOVIE,2013,,90,drama,['US'],,1934,6.999,5.705
Ninja Scroll,MOVIE,1993,R,94,fantasy,['JP'],,36978,16.354,7.91
Bill Hicks: Revelations,MOVIE,1993,,74,comedy,['GB'],,3098,3.784,8.395
Hot Shots! Part Deux,MOVIE,1993,PG-13,86,comedy,['US'],,89898,23.126,6.725
Wild Tango,MOVIE,1993,R,124,drama,"['AR', 'ES']",,1584,5.092,6.595000000000001
Dr. Seuss on the Loose,MOVIE,1973,,25,family,[],,632,4.353,7.77
The Program,MOVIE,1993,R,113,action,['US'],,10564,5.665,6.49
Menace II Society,MOVIE,1993,R,97,drama,['US'],,58179,13.928,7.6439
Dazed and Confused,MOVIE,1993,R,102,drama,['US'],,179462,12.536,7.63
As Good as It Gets,MOVIE,1997,PG-13,139,comedy,['US'],,294505,18.365,7.68
Geronimo: An American Legend,MOVIE,1993,PG-13,115,western,['US'],,11709,8.136,6.585
Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,,87,action,['JP'],,53152,32.569,8.280000000000001
Nowhere to Run,MOVIE,1993,R,94,drama,['US'],,23919,22.8,6.09
Boogie Nights,MOVIE,1997,R,156,drama,['US'],,261563,20.436,7.87
Titanic,MOVIE,1997,PG-13,194,drama,['US'],,1146825,155.683,7.9951
Demolition Man,MOVIE,1993,R,115,crime,['US'],,172362,25.7,6.865
Conspiracy Theory,MOVIE,1997,R,130,thriller,['US'],,99704,15.121,6.82
Anaconda,MOVIE,1997,PG-13,89,horror,"['BR', 'PE', 'US']",,104213,34.405,5.195
Double Team,MOVIE,1997,R,93,action,"['HK', 'US']",,34396,14.599,5.195
Destiny,MOVIE,1997,,136,drama,"['EG', 'FR']",,2857,3.287,7.0649999999999995
Seven Years in Tibet,MOVIE,1997,PG-13,136,action,['US'],,142903,13.766,7.29
The Secret of Life on Earth,MOVIE,1993,G,42,documentation,['US'],,,1.456,6.4
The Edge,MOVIE,1997,R,117,drama,['US'],,72945,13.374,7.01
Donnie Brasco,MOVIE,1997,R,127,drama,['US'],,303868,22.225,7.725
Starship Troopers,MOVIE,1997,R,129,scifi,['US'],,288960,22.126,7.3
L.A. Confidential,MOVIE,1997,R,138,thriller,['US'],,570894,22.527,8.16
Spawn,MOVIE,1997,PG-13,96,scifi,['US'],,68184,16.989,5.5043500000000005
Minsara Kanavu,MOVIE,1997,G,145,comedy,['IN'],,1226,2.316,6.82
Gattaca,MOVIE,1997,PG-13,106,scifi,['US'],,300701,17.789,7.79885
The Devil's Own,MOVIE,1997,R,107,crime,['US'],,65323,12.863,6.345000000000001
My Best Friend's Wedding,MOVIE,1997,PG-13,105,romance,['US'],,140200,9.515,6.619999999999999
Vegas Vacation,MOVIE,1997,PG,94,comedy,['US'],,49377,12.537,6.195
Hot Girls Wanted,MOVIE,2015,,84,documentation,['US'],,17557,37.12,6.2113
Mucize,MOVIE,2015,PG-13,136,drama,['TR'],,12593,6.24,7.54
Iliza Shlesinger: Freezing Hot,MOVIE,2015,,71,comedy,['US'],,2616,3.345,6.915
Dhanak,MOVIE,2015,,106,drama,['IN'],,3893,2.918,7.825
Steve Jobs,MOVIE,2015,R,125,history,"['GB', 'US']",,168042,12.847,7.16
Blind Date,MOVIE,1987,PG-13,95,comedy,['US'],,22521,11.472,6.15
The Princess Bride,MOVIE,1987,PG,99,fantasy,['US'],,420521,21.284,7.965
The Boy,MOVIE,2016,PG-13,97,horror,['US'],,90853,29.848,6.155
The Replacements,MOVIE,2000,PG-13,118,comedy,['US'],,64771,30.982,6.77
Naz & Maalik,MOVIE,2015,,86,drama,['US'],,375,2.103,6.369999999999999
Legend,MOVIE,2015,R,131,thriller,"['FR', 'GB', 'US']",,178601,333.013,7.09325
Apocalypse Now Redux,MOVIE,2001,R,196,drama,['US'],,,4.147341,9.82
6 Years,MOVIE,2015,,84,drama,['US'],,12441,7.652,5.73
Manson Family Vacation,MOVIE,2015,,85,comedy,['US'],,2995,6.451,6.055
The Blazing Sun,MOVIE,1954,,100,crime,['EG'],,1219,2.184,7.35
"Hello, My Name Is Doris",MOVIE,2015,R,95,drama,['US'],,21105,13.528,6.68
A Monster Calls,MOVIE,2016,PG-13,108,drama,"['ES', 'GB', 'US']",,87806,84.977,7.44
The Hollars,MOVIE,2016,PG-13,105,romance,['US'],,12649,8.674,6.635
October 1,MOVIE,2014,PG-13,149,thriller,['NG'],,446,1.347,6.49
Hunterrr,MOVIE,2015,R,141,romance,['IN'],,6262,2.332,6.79
Miss India America,MOVIE,2016,,95,drama,['US'],,611,4.499,5.675000000000001
For Here or to Go?,MOVIE,2017,,105,comedy,['US'],,628,1.398,7.0
Aziz Ansari: Live at Madison Square Garden,MOVIE,2015,,58,comedy,['US'],,3266,4.73,6.8149999999999995
Crazy Beautiful You,MOVIE,2015,,115,drama,['PH'],,853,2.393,7.15
Souk Bazaar,MOVIE,2015,PG,97,comedy,['TR'],,1900,1.672,5.395
Monty Python: The Meaning of Live,MOVIE,2014,,96,documentation,['GB'],,598,1.714,7.63
The Gift,MOVIE,2015,R,108,drama,"['AU', 'US']",,155102,15.146,7.015000000000001
The Danish Girl,MOVIE,2015,R,119,drama,"['BE', 'DE', 'DK', 'GB', 'US']",,183579,21.369,7.47
Ralphie May: Unruly,MOVIE,2015,,83,comedy,['US'],,,2.349,5.41
He Never Died,MOVIE,2015,R,99,fantasy,"['CA', 'US']",,20376,10.541,6.395
Ok Kanmani,MOVIE,2015,PG,139,romance,['IN'],,5877,4.318,7.26
"Beirut, Oh Beirut",MOVIE,1975,,110,drama,['LB'],,108,1.025,6.94
The Forest,MOVIE,2016,R,95,horror,['US'],,42561,33.204,5.24
Chhota Bheem In Dholakpur to Kathmandu,MOVIE,2012,G,70,animation,['XX'],,50,1.172,7.6
Heritages,MOVIE,2014,,96,drama,"['AE', 'LB']",,131,0.955,5.949999999999999
Raiders!: The Story of the Greatest Fan Film Ever Made,MOVIE,2015,,93,documentation,['US'],,2157,6.71,7.055000000000001
The Girl King,MOVIE,2015,,106,drama,"['CA', 'DE', 'FI', 'FR', 'SE']",,4065,17.025,6.234999999999999
Back in Time,MOVIE,2015,PG,95,documentation,"['CA', 'GB', 'US']",,4113,12.432,6.575
Brothers,MOVIE,2015,PG-13,156,family,['IN'],,13003,5.554,6.67
Katti Batti,MOVIE,2015,,138,comedy,['IN'],,3157,1.508,5.32
Belgica,MOVIE,2016,,127,drama,"['BE', 'FR']",,4519,4.889,6.505000000000001
Storks,MOVIE,2016,PG,87,animation,['US'],,61288,35.784,6.869999999999999
My Own Man,MOVIE,2014,,82,documentation,['US'],,447,1.895,6.76
Husband Factor,MOVIE,2015,PG-13,108,comedy,['TR'],,5092,4.497,6.21
ma ma,MOVIE,2015,R,111,drama,"['ES', 'FR']",,4251,6.744,6.535
Children of Shatila,MOVIE,1999,,50,documentation,['LB'],,78,1.635,7.5649999999999995
Spectral,MOVIE,2016,PG-13,109,thriller,['US'],,59040,30.663,6.5435
War Dogs,MOVIE,2016,R,114,crime,['US'],,212032,32.374,7.155
"Dude, Where's My Car?",MOVIE,2000,PG-13,83,scifi,['US'],,139065,13.871,5.725
Dark Waters,MOVIE,1956,,120,action,['EG'],,610,0.849,6.505000000000001
You're My Boss,MOVIE,2015,,116,comedy,['PH'],,278,1.899,7.295
Roxanne,MOVIE,1987,PG,107,comedy,['US'],,44752,11.803,6.68
Confusion Na Wa,MOVIE,2013,,105,crime,['NG'],,38,1.513,7.15
The Siege of Jadotville,MOVIE,2016,,108,war,"['IE', 'ZA']",,39404,11.351,7.34
The Man Who Killed Don Quixote,MOVIE,2018,,133,fantasy,"['BE', 'ES', 'FR', 'GB', 'PT']",,19372,13.473,6.71
Message from the King,MOVIE,2016,R,102,thriller,['FR'],,16513,15.381,6.49
The Take,MOVIE,2016,R,92,action,"['FR', 'GB', 'LU', 'US']",,43449,17.563,6.484999999999999
The Death & Life of John F. Donovan,MOVIE,2019,R,127,drama,"['CA', 'GB', 'US']",,6623,12.658,6.699999999999999
Circle,MOVIE,2015,,87,thriller,['US'],,52925,14.711,6.2
Ouija: Origin of Evil,MOVIE,2016,PG-13,99,drama,['US'],,6,44.508,5.895
Eddie Murphy Raw,MOVIE,1987,R,90,comedy,['US'],,19757,7.992,7.585
ABCD 2,MOVIE,2015,PG,154,music,['IN'],,6424,4.913,5.720000000000001
Chris D'Elia: Incorrigible,MOVIE,2015,R,83,comedy,['US'],,1540,2.593,6.49
American Ultra,MOVIE,2015,R,96,action,"['CH', 'US']",,89912,20.733,6.295
Dil Dhadakne Do,MOVIE,2015,PG-13,170,drama,['IN'],,17581,8.46,7.0600000000000005
Gabbar Is Back,MOVIE,2015,PG-13,130,drama,['IN'],,24975,7.397,7.29
Curious George 3: Back to the Jungle,MOVIE,2015,G,81,family,['US'],,588,12.424,6.3100000000000005
For the Love of Spock,MOVIE,2016,,105,documentation,"['CA', 'US']",,4349,8.63,7.675
Tea Time,MOVIE,2014,,70,documentation,['CL'],,507,1.704,7.765000000000001
Can't Buy Me Love,MOVIE,1987,PG-13,94,comedy,['US'],,36852,13.144,7.0
The Pursuit of Happyness,MOVIE,2006,PG-13,117,drama,['US'],,501457,47.893,8.055
Kevin Hart: What Now?,MOVIE,2016,R,96,comedy,['US'],,9501,10.176,6.375
The Unknown Girl,MOVIE,2016,,113,thriller,"['BE', 'FR']",,9396,8.541,6.54
Christine,MOVIE,2016,R,123,drama,['US'],,15146,11.1,7.01
Have You Ever Seen Fireflies? - Theatre Play,MOVIE,1999,,118,drama,['TR'],,,1.396,7.84
Henry Gamble's Birthday Party,MOVIE,2015,R,86,drama,['US'],,2992,5.908,6.165
Those People,MOVIE,2015,,89,romance,['US'],,5976,8.714,6.949999999999999
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),MOVIE,2015,,78,comedy,['US'],,1506,2.027,7.005000000000001
Front Cover,MOVIE,2016,,87,drama,['US'],,1059,3.39,6.58
Dharam Sankat Mein,MOVIE,2015,PG-13,129,comedy,['IN'],,2262,3.51,6.8
Much Loved,MOVIE,2015,,108,drama,"['FR', 'MA']",,2772,5.794,6.300000000000001
Tamasha,MOVIE,2015,PG,139,drama,['IN'],,27331,6.88,7.119999999999999
Incarnate,MOVIE,2016,PG-13,19,horror,['US'],,13090,14.911,5.53
Falafel,MOVIE,2006,,80,drama,"['FR', 'LB']",,217,1.152,6.325
Beyond Skyline,MOVIE,2017,R,105,scifi,"['CA', 'CN', 'GB', 'ID', 'SG', 'US']",,21834,10.535,5.49
Niyazi Gül Dörtnala,MOVIE,2015,PG,106,comedy,['TR'],,3170,2.395,4.640000000000001
Just the Way You Are,MOVIE,2015,,107,comedy,['PH'],,511,2.177,7.07
Mr. Right,MOVIE,2016,R,90,action,['US'],,55955,16.884,6.54755
Frank and Cindy,MOVIE,2015,,102,comedy,['US'],,863,2.311,5.98
Wolves,MOVIE,2016,R,109,drama,['US'],,1239,6.398,6.045
Veteran,MOVIE,2015,,119,comedy,['KR'],,6611,9.614,7.105
Tig,MOVIE,2015,,95,documentation,['US'],,2691,5.984,7.44
The Breakup Playlist,MOVIE,2015,,117,romance,['PH'],,305,1.875,6.8100000000000005
Rabid Dogs,MOVIE,2015,,100,thriller,"['CA', 'FR']",,1790,25.263,5.875
The Ridiculous 6,MOVIE,2015,PG-13,119,western,['US'],,47935,40.711,5.2184
Chris Tucker: Live,MOVIE,2015,,92,comedy,['US'],,1955,5.362,6.35
Ave Maria,MOVIE,2015,,15,comedy,"['DE', 'FR', 'PS']",,,2.209,6.3100000000000005
Ralphie May: Imperfectly Yours,MOVIE,2013,,69,comedy,['US'],,154,2.254,5.45
Woman at War,MOVIE,2018,,101,thriller,"['FR', 'IS', 'UA']",,9646,9.574,7.44
About Endlessness,MOVIE,2019,,78,comedy,"['DE', 'FR', 'NO', 'SE']",,6251,8.306,6.734999999999999
Boyka: Undisputed IV,MOVIE,2016,R,87,action,['BG'],,,145.287,7.3
Huevos: Little Rooster's Egg-Cellent Adventure,MOVIE,2015,PG,98,family,['MX'],,1050,35.64,6.5
Ludo,MOVIE,2015,,90,horror,['IN'],,852,3.316,3.16
My All American,MOVIE,2015,PG,118,drama,['US'],,6656,8.417,7.244999999999999
Old Thieves: The Legend of Artegio,MOVIE,2007,,97,documentation,['MX'],,317,1.743,7.83
Death Note,MOVIE,2017,NC-17,101,horror,['US'],,84119,22.306,4.640000000000001
The Escort,MOVIE,2015,,88,romance,['US'],,13071,33.662,6.2
Ladrones,MOVIE,2015,PG-13,98,crime,"['DO', 'US']",,302,3.817,6.015000000000001
Un + une,MOVIE,2015,,115,comedy,['FR'],,2336,4.579,6.255000000000001
Bangistan,MOVIE,2015,PG-13,135,comedy,['IN'],,1284,4.372,5.630000000000001
Drishyam,MOVIE,2015,R,163,thriller,['IN'],,80320,9.208,8.155
Septembers of Shiraz,MOVIE,2015,PG-13,110,drama,['US'],,38,8.065,7.015000000000001
The Massively Mixed-Up Middle School Mystery,MOVIE,2015,,39,comedy,['XX'],,81,2.528,7.3
Sam Kinison: Live in Vegas,MOVIE,1991,,72,comedy,['US'],,276,0.656,6.5
Term Life,MOVIE,2016,R,93,thriller,['US'],,8030,16.084,5.905
Loving,MOVIE,2016,PG-13,123,drama,"['GB', 'US']",,34326,16.664,7.015000000000001
The Fundamentals of Caring,MOVIE,2016,R,97,comedy,['US'],,72083,14.985,7.4467
Carrie Pilby,MOVIE,2017,,98,drama,['US'],,11694,8.99,6.905
Brain on Fire,MOVIE,2017,PG-13,88,drama,"['CA', 'IE']",,21444,12.009,6.994999999999999
Goon: Last of the Enforcers,MOVIE,2017,R,101,comedy,['CA'],,13717,13.329,5.965
Tallulah,MOVIE,2016,,111,drama,['US'],,20208,7.195,6.91
Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,comedy,['US'],,660,1.843,7.34
Phantom,MOVIE,2015,,136,thriller,['IN'],,9281,3.083,5.970000000000001
The Love Affair,MOVIE,2015,,125,romance,['PH'],,259,1.539,6.215
4th Man Out,MOVIE,2015,,87,comedy,['US'],,10111,7.859,6.955
Talvar,MOVIE,2015,PG,132,thriller,['IN'],,34943,9.212,7.925
Southbound,MOVIE,2015,,89,fantasy,['US'],,18955,10.345,6.15
Demetri Martin: Live (At The Time),MOVIE,2015,,61,comedy,['US'],,2207,2.887,7.35
Colin Quinn: Unconstitutional,MOVIE,2015,,55,comedy,['US'],,478,2.333,7.155
Winter on Fire: Ukraine's Fight for Freedom,MOVIE,2015,,98,documentation,"['GB', 'UA', 'US']",,18748,7.755,8.25
David Brent: Life on the Road,MOVIE,2016,,96,comedy,['GB'],,20005,8.871,6.41075
Amazing Grace,MOVIE,2018,G,87,music,['US'],,4527,9.417,7.58
Closet Monster,MOVIE,2016,,90,drama,['CA'],,8239,10.868,7.195
Across the Line,MOVIE,2016,,88,drama,['CA'],,437,2.037,5.35
Gridlocked,MOVIE,2016,R,110,action,['CA'],,4604,14.458,6.01
Bāhubali 2: The Conclusion,MOVIE,2017,,168,fantasy,['IN'],,94421,38.877,7.885
Deck the Halls,MOVIE,2006,PG,93,family,['US'],,27936,11.999,5.475
Lights Out,MOVIE,2016,PG-13,81,horror,['US'],,125496,38.227,6.484999999999999
Full Metal Jacket,MOVIE,1987,R,117,war,"['GB', 'US']",,729274,32.937,8.295
Waist Deep,MOVIE,2006,R,97,thriller,['US'],,9990,15.58,6.369999999999999
Very Big Shot,MOVIE,2015,R,107,action,"['LB', 'QA']",,1405,1.669,6.965
3000 Nights,MOVIE,2015,,103,drama,"['AE', 'FR', 'JO', 'LB', 'PS', 'QA']",,720,2.069,6.655
Heneral Luna,MOVIE,2015,R,118,comedy,['PH'],,2132,3.448,7.66
Phone Swap,MOVIE,2012,,111,comedy,['NG'],,174,1.968,5.85
Katt Williams: The Pimp Chronicles Pt. 1,MOVIE,2006,,46,comedy,['US'],,1819,3.787,7.225
Maudie,MOVIE,2016,PG-13,115,drama,"['CA', 'IE']",,18169,9.404,7.81
Riot,MOVIE,2015,,88,action,['US'],,3369,12.429,5.66
Into the Inferno,MOVIE,2016,,107,documentation,"['CA', 'DE', 'GB']",,8693,9.998,7.25
Phir Hera Pheri,MOVIE,2006,,155,comedy,['IN'],,23119,8.428,6.93
Janoskians: Untold and Untrue,MOVIE,2015,,88,comedy,['US'],,161,1.889,4.645
Mukhsin,MOVIE,2006,,95,comedy,['MY'],,388,2.223,7.21
Jeff Dunham: Unhinged in Hollywood,MOVIE,2015,PG,60,comedy,['US'],,722,1.77,6.640000000000001
Keith Richards: Under the Influence,MOVIE,2015,PG,82,documentation,['US'],,3383,5.383,7.0649999999999995
Kara Bela,MOVIE,2015,PG-13,100,comedy,['TR'],,9056,3.656,6.82
Trailer Park Boys: The Movie,MOVIE,2006,R,95,comedy,['CA'],,12910,6.191,7.0649999999999995
Bosta,MOVIE,2005,,112,war,['Lebanon'],,605,1.623,5.95
Selfie,MOVIE,2014,,123,comedy,['RO'],,1671,2.164,6.335
The Shack,MOVIE,2017,PG-13,132,drama,['US'],,35748,110.758,6.975
Shaandaar,MOVIE,2015,PG-13,144,comedy,['IN'],,5723,3.961,4.505
Fifty,MOVIE,2015,,101,drama,['NG'],,265,2.484,5.885
Anjelah Johnson: Not Fancy,MOVIE,2015,,63,comedy,['US'],,701,2.405,5.51
Berlin Syndrome,MOVIE,2017,R,116,horror,['AU'],,25149,15.339,6.300000000000001
A Very Murray Christmas,MOVIE,2015,,56,comedy,['US'],,15455,9.185,5.635
Swearnet Live,MOVIE,2014,,75,comedy,['CA'],,540,1.507,5.58
