title,type,release_year,age_certification,runtime,genre,production_countries,seasons,imdb_votes,tmdb_popularity,average_score
Why Did You Kill Me?,MOVIE,2021,R,83,crime,['US'],,4175,14.666,6.09
Two,MOVIE,2021,,71,horror,['ES'],,,236.797,5.95
One Like It,MOVIE,2020,,14,,[],,,0.961,4.15
Ramona and Beezus,MOVIE,2010,G,103,comedy,['US'],,18519,9.997,6.675000000000001
Ip Man 2,MOVIE,2010,R,108,drama,"['CN', 'HK']",,104500,4.516,7.625
Marked,MOVIE,2019,,45,documentation,['NG'],,,0.611,
Heroes: Silence and Rock & Roll,MOVIE,2021,,94,documentation,['ES'],,668,14.086,8.120000000000001
Karthik Calling Karthik,MOVIE,2010,PG,135,thriller,['IN'],,12114,7.725,6.885
Barbie & Chelsea: The Lost Birthday,MOVIE,2021,,60,animation,['US'],,,69.565,7.39
Get the Grift,MOVIE,2021,,94,crime,['BR'],,748,20.388,6.075
Dhamaka,MOVIE,2021,,104,thriller,['IN'],,40263,72.416,7.385
Rare Exports: A Christmas Tale,MOVIE,2010,R,83,fantasy,"['FI', 'FR', 'NO', 'SE']",,28802,6.805,6.635
Black Death,MOVIE,2010,R,102,horror,"['DE', 'GB']",,47682,7.34,6.4
The Last Kids on Earth: Happy Apocalypse to You,MOVIE,2021,G,91,fantasy,['CA'],,,3.02,8.829999999999998
Get Him to the Greek,MOVIE,2010,R,109,comedy,['US'],,177089,12.261,6.305
Plastic Island,MOVIE,2021,,102,documentation,['ID'],,22,1.4,8.0
Till Death,MOVIE,2021,R,89,horror,['US'],,20256,21.514,6.369999999999999
Sisters on Track,MOVIE,2021,PG,96,documentation,['US'],,199,7.433,6.595
Searching for Sheela,MOVIE,2021,,58,documentation,['IN'],,1360,5.135,5.305
Spencer,MOVIE,2021,R,117,drama,"['CL', 'DE', 'GB', 'US']",,56835,38.582,7.045
Moby Doc,MOVIE,2021,,92,music,['US'],,881,3.629,6.795
Silo,MOVIE,2019,,76,thriller,['US'],,244,2.243,6.51
Dad Stop Embarrassing Me - The Afterparty,MOVIE,2021,PG-13,37,,['US'],,,1.296,10.0
Condom Lead,MOVIE,2013,,15,drama,['PS'],,,1.4,
I Am All Girls,MOVIE,2021,,107,thriller,['ZA'],,5917,43.887,6.42
Shadow and Bone - The Afterparty,MOVIE,2021,R,32,,"['CA', 'HU']",,,1.667,8.02
Italian Studies,MOVIE,2022,,81,drama,['US'],,414,4.126,4.835
Wave of Cinema: Filosofi Kopi,MOVIE,2020,,90,documentation,['ID'],,,0.908,
Sardar Ka Grandson,MOVIE,2021,,140,comedy,['IN'],,4539,5.578,5.885
The Loneliest Whale: The Search for 52,MOVIE,2021,PG,96,documentation,['US'],,290,4.054,7.535
Main Street,MOVIE,2010,PG,92,romance,['US'],,2851,4.945,4.83
Udaan,MOVIE,2010,R,138,drama,['IN'],,44862,5.019,7.835
The Guide to the Perfect Family,MOVIE,2021,,102,comedy,['CA'],,1668,26.085,6.67
Survival Island,MOVIE,1996,,40,documentation,"['JP', 'US']",,,2.14,5.5
Dancing Queens,MOVIE,2021,,110,drama,['SE'],,1747,23.443,5.955
Resort to Love,MOVIE,2021,PG,101,romance,['US'],,5771,42.837,6.635
Soy Rada: Serendipity,MOVIE,2021,,70,comedy,['AR'],,78,7.514,5.625
