title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,normalized_tmdb_score,top_genres,genres_count,production_countries_count,average_score,score_difference,genres_uniqueness,production_countries_uniqueness,title_uniqueness_norm
Worn Stories,SHOW,"In this funny, heartfelt and moving docuseries, real people unpack the fascinating and quirky stories around their most meaningful pieces of clothing.",2021,TV-MA,30,['documentation'],['US'],1,6.7,313,2.484,7.3,['documentation'],1.0,1.0,7.0,-0.5999999999999996,0.8829181764295086,0.5545224005796812,0.6759702634020625
The Houseboat,SHOW,"With plenty of passion and little know-how, two musicians undertake a daunting project: turn a late singer's houseboat into a creative musical space.",2021,,36,['documentation'],['DE'],1,,,2.119,7.3,['documentation'],1.0,1.0,7.3,,0.8829181764295086,0.9802604311655668,0.6759702649300933
Reflection of You,SHOW,A thriving painter's enviable life begins to fray at the edges when a bright young woman she once befriended resurfaces as a shell of her former self.,2021,,72,['drama'],['KR'],1,,,4.899,7.660000000000001,['drama'],1.0,1.0,7.660000000000001,,0.7665544751910898,0.9686905083549058,0.45339074690721326
DI4RI,SHOW,"First crushes, first kisses, beautiful friendships - and quarrels between rivals. At the Galileo Galilei middle school, days go by among a thousand surprises.",2022,,28,['family'],['IT'],1,7.3,26,1.556,4.42,['family'],1.0,1.0,5.859999999999999,2.88,0.9312941150899294,0.9891755479169907,0.6759702633639949
Black Island,MOVIE,The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.,2021,,105,"['drama', 'thriller']",['DE'],,5.2,2788,62.875,6.4,"['drama', 'thriller']",2.0,1.0,5.800000000000001,-1.2000000000000002,0.7739429126779911,0.9802604311655668,0.6759702656698722
Too Hot to Handle: Brazil,SHOW,"Sizzling hot young Brazilians meet at a dreamy beach resort. But for a shot at R$500,000 in this fun reality show, they'll have to give up sex.",2021,TV-MA,56,"['reality', 'romance']",['BR'],1,5.4,457,8.147,7.39,"['reality', 'romance']",2.0,1.0,6.395,-1.9899999999999993,0.898640470142253,0.9867304319114597,0.612190252226697
Love Tactics,MOVIE,"An ad executive and a fashion designer-blogger don't believe in love, so they place a bet to make the other fall head over heels - with unusual tactics.",2022,,97,"['comedy', 'romance']",['TR'],,5.2,3774,56.074,7.21,"['comedy', 'romance']",2.0,1.0,6.205,-2.01,0.7767652088457677,0.9890021293041642,0.6121902505721358
Swap Shop,SHOW,"When the ""Swap Shop"" radio show shares the scoop on sweet deals, collectors of cars, comics, creepy clown statues and more listen with ears wide open.",2021,TV-14,30,['reality'],['US'],2,6.6,355,1.554,7.03,['reality'],1.0,1.0,6.8149999999999995,-0.4300000000000006,0.9555180933659505,0.5545224005796812,0.6759702632022151
Scaredy Cats,SHOW,"On Willa Ward’s twelfth birthday, she inherits a beautiful charm necklace that belonged to her mother, who was a witch.  She soon learns 2 bad witches, Wilma and Wanda are after her locket so they can have ultimate power, and she alongside her best friends Scout and Lily turn into cats to escape.",2021,TV-G,29,"['comedy', 'family', 'fantasy', 'scifi']",['US'],1,6.2,349,7.585,7.21,"['family', 'scifi']",4.0,1.0,6.705,-1.0099999999999998,0.8137823152557799,0.5545224005796812,0.5541555481790656
Bombay Begums,SHOW,"From boardrooms to society's margins, five ambitious women from various walks of life navigate dreams, desires and disappointments in modern Mumbai.",2021,TV-MA,49,['drama'],['IN'],1,5.2,4884,2.475,8.47,['drama'],1.0,1.0,6.835000000000001,-3.2700000000000005,0.7665544751910898,0.9216856422869464,0.5541555487497638
Paper Lives,MOVIE,"In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood.",2021,,96,['drama'],['TR'],,6.6,12034,21.221,8.379999999999999,['drama'],1.0,1.0,7.489999999999999,-1.7799999999999994,0.7665544751910898,0.9890021293041642,0.6121902527650366
The Women and the Murderer,MOVIE,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,2021,PG-13,92,"['crime', 'documentation']",['FR'],,6.4,1237,9.08,6.58,"['crime', 'documentation']",2.0,1.0,6.49,-0.17999999999999972,0.8476605778130256,0.9695844725650858,0.4097922481076265
Resort to Love,MOVIE,Aspiring pop star Erica ends up as the entertainment at her ex-fiancé’s wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.,2021,PG,101,"['comedy', 'romance']",['US'],,5.7,5771,42.837,7.57,"['comedy', 'romance']",2.0,1.0,6.635,-1.87,0.7767652088457677,0.5545224005796812,0.5013732891538966
7 Yards: The Chris Norton Story,MOVIE,A documentary that will inspire you to overcome. It took Chris Norton 7 years to walk his bride 7 yards down the aisle after a life-altering football tackle.,2021,,93,['documentation'],['US'],,7.8,258,1.788,7.57,['documentation'],1.0,1.0,7.6850000000000005,0.22999999999999954,0.8829181764295086,0.5545224005796812,0.1989867231664044
UFO,MOVIE,"When aspiring musician and student Deniz falls for a rough-hewn motorbike racer, tragedy and family opposition obstruct their path to love.",2022,,109,"['documentation', 'drama', 'romance']",['TR'],,4.7,784,31.008,6.3100000000000005,"['drama', 'romance']",3.0,1.0,5.505000000000001,-1.6100000000000003,0.7588042794435992,0.9890021293041642,0.8229586822115944
Below Zero,MOVIE,"On a lonely road, a prison transport is brutally assaulted. Martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him.",2021,,106,"['action', 'crime', 'drama', 'horror', 'thriller']",['ES'],,6.2,19201,49.755,6.76,"['action', 'crime']",5.0,1.0,6.48,-0.5599999999999996,0.7659044445184895,0.9738945956460092,0.6121902505804402
Pedal to Metal,SHOW,"After a race they drive in ends fatally, friends Kike and Noche flee to Mexico City to hide, rebuild their lives and escape danger ... or at least try.",2022,TV-MA,0,"['action', 'crime', 'drama', 'thriller']",['MX'],1,7.7,59,5.668,6.9399999999999995,"['action', 'drama']",4.0,1.0,7.32,0.7600000000000007,0.7487047962481351,0.9821845086248843,0.5541555498053994
Haunted: Latin America,SHOW,"Real people's terrifying tales of the chilling, unexplained and paranormal come to life with dramatic reenactments in this reality series.",2021,TV-14,34,"['horror', 'reality']",['MX'],1,5.3,579,71.946,7.57,"['horror', 'reality']",2.0,1.0,6.4350000000000005,-2.2700000000000005,0.9318695367749931,0.9821845086248843,0.4097922477433417
Child of Kamiari Month,MOVIE,"This is a story of a 12-year-old girl, Kanna, born as a descendant of the Gods. Her family has a mission to deliver offerings from all over Japan to the Gods' gathering in Izumo. Although Kanna's mother was to complete the mission, her passing prompted Kanna to finish the task, hoping she could reunite with her dead mother in the Gods' land at the end of her journey.",2021,,99,"['animation', 'drama', 'family', 'fantasy']",['JP'],,5.8,751,6.608,6.67,"['animation', 'fantasy']",4.0,1.0,6.234999999999999,-0.8700000000000001,0.8154194261557446,0.9276483709208561,0.2720671066911463
The Secret Diary of an Exchange Student,MOVIE,Two best friends embark on a life-changing adventure abroad as exchange students.,2021,,96,"['comedy', 'romance']",['BR'],,5.3,890,6.139,6.9399999999999995,"['comedy', 'romance']",2.0,1.0,6.119999999999999,-1.6399999999999997,0.7767652088457677,0.9867304319114597,0.1048398246478174
