title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,normalized_tmdb_score,top_genres,genres_count,production_countries_count,average_score,score_difference,genres_uniqueness,production_countries_uniqueness,title_uniqueness_norm
Saturday Night Live,SHOW,"A late-night live television sketch comedy and variety show created by Lorne Michaels. The show's comedy sketches, which parody contemporary culture and politics, are performed by a large and varying cast of repertory and newer cast members. Each episode is hosted by a celebrity guest, who usually delivers an opening monologue and performs in sketches with the cast, and features performances by a musical guest.",1975,TV-14,89,"['comedy', 'music']",['US'],47,8.0,47910,54.345,7.21,"['comedy', 'music']",2.0,1.0,7.605,0.79,0.8737503628053293,0.5545224005796812,0.4097922496776111
M*A*S*H,SHOW,"The 4077th Mobile Army Surgical Hospital is stuck in the middle of the Korean war. With little help from the circumstances they find themselves in, they are forced to make their own fun. Fond of practical jokes and revenge, the doctors, nurses, administrators, and soldiers often find ways of making wartime life bearable.",1972,TV-PG,26,"['comedy', 'drama', 'war']",['US'],11,8.4,55882,27.308,8.2,"['comedy', 'war']",3.0,1.0,8.3,0.20000000000000107,0.8254841179186962,0.5545224005796812,0.6121902529462182
I Love Lucy,SHOW,"Cuban Bandleader Ricky Ricardo would be happy if his wife Lucy would just be a housewife. Instead she tries constantly to perform at the Tropicana where he works, and make life comically frantic in the apartment building they share with landlords Fred and Ethel Mertz, who also happen to be their best friends.",1951,TV-G,30,"['comedy', 'family']",['US'],9,8.5,25944,17.088,8.29,"['comedy', 'family']",2.0,1.0,8.395,0.21000000000000085,0.8248943772317469,0.5545224005796812,0.6759702640632654
Taxi,SHOW,"Louie De Palma is a cantankerous, acerbic taxi dispatcher in New York City. He tries to maintain order over a collection of varied and strange characters who drive for him. As he bullies and insults them from the safety of his “cage,” they form a special bond among themselves, becoming friends and supporting each other through the inevitable trials and tribulations of life.",1978,TV-PG,25,"['comedy', 'drama']",['US'],5,7.7,13379,14.346,7.57,"['comedy', 'drama']",2.0,1.0,7.635,0.1299999999999999,0.676586758987894,0.5545224005796812,0.8229586822162503
The Mary Tyler Moore Show,SHOW,"30-year-old single Mary Richards moves to Minneapolis to start a new life after a romantic break-up. There she reacquaints with Phyllis who rents her a room, and meets her upstairs neighbor and new best friend Rhoda. Mary unexpectedly lands a job as associate producer at the TV station WJM, where she works alongside her bristly boss, Lou; the comical newswriter, Murray; and the newscast's often-incompetent anchor, Ted.",1970,TV-PG,28,['comedy'],['US'],7,8.2,8692,9.29,7.75,['comedy'],1.0,1.0,7.975,0.4499999999999993,0.7743576575786824,0.5545224005796812,0.3016412625003681
The Brady Bunch,SHOW,"When widower Mike Brady marries a lovely lady widow Carol Ann, their two families become one. These are the misadventures of this new couple, their six children, a dog named Tiger, and quirky housekeeper Alice.",1969,TV-G,25,"['comedy', 'family']",['US'],5,6.7,14080,15.042,7.3,"['comedy', 'family']",2.0,1.0,7.0,-0.5999999999999996,0.8248943772317469,0.5545224005796812,0.6759702636664638
The Bob Newhart Show,SHOW,"The Bob Newhart Show is an American situation comedy produced by MTM Enterprises, which aired 142 original episodes on CBS from September 16, 1972, to April 1, 1978. Comedian Bob Newhart portrays a psychologist having to deal with his patients and fellow office workers. The show was filmed before a live audience.",1972,TV-PG,27,['comedy'],['US'],6,8.1,5793,14.2,7.93,['comedy'],1.0,1.0,8.015,0.16999999999999993,0.7743576575786824,0.5545224005796812,0.4533907452005766
Lost in Space,SHOW,"The space family Robinson is sent on a five-year mission to find a new planet to colonise. The voyage is sabotaged time and again by an inept stowaway, Dr. Zachary Smith. The family's spaceship, Jupiter II, also carries a friendly robot who endures an endless stream of abuse from Dr. Smith, but is a trusted companion of young Will Robinson",1965,TV-PG,50,"['comedy', 'family', 'fantasy', 'scifi']",['US'],3,5.7,8,30.079,7.39,"['comedy', 'scifi']",4.0,1.0,6.545,-1.6899999999999995,0.8137823152557799,0.5545224005796812,0.9999999976791419
The Odd Couple,SHOW,"The Odd Couple is a television situation comedy broadcast from September 24, 1970 to March 7, 1975 on ABC. It stars Tony Randall as Felix Unger and Jack Klugman as Oscar Madison, and was the first of several developed by Garry Marshall for Paramount Television. The show is based upon the play of the same name, which was written by Neil Simon.

Felix and Oscar are two divorced men. Felix is neat and tidy while Oscar is sloppy and casual. They share a Manhattan apartment, and their different lifestyles inevitably lead to conflicts and laughs.

In 1997, the episodes ""Password"" and ""The Fat Farm"" were ranked #5 and #58 on TV Guide's 100 Greatest Episodes of All Time. The show received three nominations for the Primetime Emmy Award for Outstanding Comedy Series. Its fourth season, from 1973–74, remains the most recent nominee for a show that aired during a Friday time slot.",1970,,27,['comedy'],['US'],5,7.9,6231,10.61,8.29,['comedy'],1.0,1.0,8.094999999999999,-0.3899999999999988,0.7743576575786824,0.5545224005796812,0.5541555490316352
The Lorax,MOVIE,"The Once-ler, a ruined industrialist, tells the tale of his rise to wealth and subsequent fall, as he disregarded the warnings of a wise old forest creature called the Lorax about the environmental destruction caused by his greed.",1972,PG,25,"['animation', 'comedy', 'drama', 'family', 'fantasy']",['US'],,7.9,2932,8.834,7.4799999999999995,"['animation', 'comedy']",5.0,1.0,7.6899999999999995,0.4200000000000008,0.7524233093149008,0.5545224005796812,0.7460319359155674
Name That Tune,SHOW,"Name That Tune is an American television game show that put two contestants against each other to test their knowledge of songs. Premiering in the United States on NBC Radio in 1952, the show was created and produced by Harry Salter and his wife Roberta.

Name That Tune ran from 1953–1959 on NBC and CBS in prime time. The first hosts were Red Benson and later Bill Cullen, but George DeWitt became most identified with the show.

Richard Hayes also emceed a local edition from 1970–1971, which ran for 26 weeks in a small number of markets. However, the best-remembered syndicated Name That Tune aired once a week from 1974–1981 with host Tom Kennedy. The series was revived for daily syndication in 1984, and its lone season was hosted by Jim Lange. For the last two of these series, John Harlan served as announcer.

The centerpiece of each Name That Tune series was an orchestra, which would play the songs for the contestants to guess. The syndicated series' orchestras were conducted by Bob Alberti, Tommy Oliver, and Stan Worth. A second band, Dan Sawyer and the Sound System, was also featured from 1978–1981. Beginning in 1976 and continuing for the remainder of the weekly syndicated series, as well as for the entire 1984 run, the show's title became The $100,000 Name That Tune.",1952,,43,"['family', 'music']",['US'],1,6.8,48,0.6,,"['family', 'music']",2.0,1.0,6.8,,0.9309107933011401,0.5545224005796812,0.4533907443040165
The Lucy Show,SHOW,"The Lucy Show is an American sitcom that aired on CBS from 1962–68. It was Lucille Ball's follow-up to I Love Lucy. A significant change in cast and premise for the 1965–66 season divides the program into two distinct eras; aside from Ball, only Gale Gordon, who joined the program for its second season, remained. For the first three seasons, Vivian Vance was the co-star.

The earliest scripts were entitled The Lucille Ball Show, but when this title was declined, producers thought of calling the show This Is Lucy or The New Adventures of Lucy, before deciding on the title The Lucy Show. Ball won consecutive Emmy Awards as Outstanding Lead Actress in a Comedy Series for the series' final two seasons, 1966–67 and 1967–68.",1962,,30,['comedy'],['US'],6,7.2,2797,8.858,7.75,['comedy'],1.0,1.0,7.475,-0.5499999999999998,0.7743576575786824,0.5545224005796812,0.6759702653752634
A Boy Named Charlie Brown,MOVIE,"Poor Charlie Brown. He can't fly a kite, and he always loses in baseball. Having his faults projected onto a screen by Lucy doesn't help him much either. Against the sage advice and taunting of the girls in his class, he volunteers for the class spelling bee...and wins!",1969,G,86,"['animation', 'comedy', 'drama', 'family']",['US'],,7.3,5001,8.118,7.21,"['animation', 'comedy']",4.0,1.0,7.255,0.08999999999999986,0.7501723544504556,0.5545224005796812,0.3342529498607859
"Snoopy, Come Home",MOVIE,"When Snoopy receives a letter from his original owner Lila, he goes to visit her in the hospital while Charlie Brown and the gang are on the lookout for him. Suddenly, Snoopy feels that he must go live with Lila, but must say goodbye to all his friends. In his adventure to the hospital, he encounters numerous ""No Dogs Allowed"" signs, an annoying little girl who desires to keep him, and more!",1972,G,81,"['animation', 'comedy', 'drama', 'family', 'music']",['US'],,7.4,4665,6.63,7.21,"['animation', 'drama']",5.0,1.0,7.305,0.1900000000000004,0.7845737798907217,0.5545224005796812,0.4097922485357163
The Cat in the Hat,MOVIE,"In a marvelously animated version of one of the most beloved of all Dr. Seuss tales, two youngsters find themselves at home with nothing to do on a rainy afternoon. But when the magical, mischievous Cat in the Hat arrives on the scene, they're all cat-apulted into a day of rousing, romping, outlandish antics they - and you - will never forget!",1971,,25,"['animation', 'comedy', 'family', 'fantasy']",['US'],,7.3,1921,2.979,7.03,"['animation', 'family']",4.0,1.0,7.165,0.2699999999999996,0.8102171589751705,0.5545224005796812,0.9999999988538392
Law & Order,SHOW,"In cases ripped from the headlines, police investigate serious and often deadly crimes, weighing the evidence and questioning the suspects until someone is taken into custody. The district attorney's office then builds a case to convict the perpetrator by proving the person guilty beyond a reasonable doubt. Working together, these expert teams navigate all sides of the complex criminal justice system to make New York a safer place.",1990,TV-14,54,"['crime', 'drama', 'thriller']",['US'],21,7.8,37287,108.194,7.839999999999999,"['crime', 'drama']",3.0,1.0,7.819999999999999,-0.03999999999999915,0.7679725144819248,0.5545224005796812,0.675970265677603
The Princess Bride,MOVIE,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",1987,PG,99,"['family', 'fantasy', 'romance']",['US'],,8.0,420521,21.284,7.93,"['family', 'fantasy']",3.0,1.0,7.965,0.07000000000000028,0.8589323152670794,0.5545224005796812,0.6121902531729554
The Simpsons,SHOW,The satiric adventures of a working-class family in the misfit city of Springfield.,1989,TV-14,27,"['animation', 'comedy']",['US'],34,8.7,394764,516.381,8.110000000000001,"['animation', 'comedy']",2.0,1.0,8.405000000000001,0.5899999999999981,0.815407417103051,0.5545224005796812,0.6759702653529555
The Breakfast Club,MOVIE,"Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group includes rebel John, princess Claire, outcast Allison, brainy Brian and Andrew, the jock. Each has a chance to tell his or her story, making the others see them a little differently -- and when the day ends, they question whether school will ever be the same.",1985,R,98,"['comedy', 'drama']",['US'],,7.8,385471,23.351,8.02,"['comedy', 'drama']",2.0,1.0,7.91,-0.21999999999999975,0.676586758987894,0.5545224005796812,0.5013732870448906
Cheers,SHOW,The story about a blue-collar Boston bar run by former sports star Sam Malone and the quirky and wonderful people who worked and drank there.,1982,TV-PG,30,"['comedy', 'drama']",['US'],11,7.9,53464,35.256,7.839999999999999,"['comedy', 'drama']",2.0,1.0,7.869999999999999,0.060000000000001386,0.676586758987894,0.5545224005796812,0.9073848777729374
Pretty Woman,MOVIE,"When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain.",1990,R,119,"['comedy', 'romance']",['US'],,7.1,316085,47.228,7.660000000000001,"['comedy', 'romance']",2.0,1.0,7.380000000000001,-0.5600000000000014,0.7767652088457677,0.5545224005796812,0.746031933158059
The Golden Girls,SHOW,"Four Southern Florida seniors share a house, their dreams, and a whole lot of cheesecake. Bright, promiscuous, clueless and hilarious, these lovely, mismatched ladies form the perfect circle of friends.",1985,TV-PG,30,"['comedy', 'drama']",['US'],7,8.1,40317,28.454,7.93,"['comedy', 'drama']",2.0,1.0,8.015,0.16999999999999993,0.676586758987894,0.5545224005796812,0.5541555485578735
Akira,MOVIE,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,1988,R,124,"['action', 'animation', 'drama', 'fantasy', 'scifi', 'thriller']",['JP'],,8.0,181098,45.959,8.2,"['action', 'scifi']",6.0,1.0,8.1,-0.1999999999999993,0.7599205311223641,0.9276483709208561,0.8229586854900381
Dragon Ball,SHOW,"Long ago in the mountains, a fighting master known as Gohan discovered a strange boy whom he named Goku. Gohan raised him and trained Goku in martial arts until he died. The young and very strong boy was on his own, but easily managed. Then one day, Goku met a teenage girl named Bulma, whose search for the dragon balls brought her to Goku's home. Together, they set off to find all seven dragon balls in an adventure that would change Goku's life forever. See how Goku met his life long friends Bulma, Yamcha, Krillin, Master Roshi and more. And see his adventures as a boy, all leading up to  Dragonball Z and later  Dragonball GT.",1986,TV-14,24,"['action', 'animation', 'comedy', 'fantasy', 'scifi', 'thriller']",['JP'],10,8.6,55153,16.956,8.379999999999999,"['scifi', 'thriller']",6.0,1.0,8.489999999999998,0.22000000000000064,0.7557243300912513,0.9276483709208561,0.7460319333066093
The Hitchhiker's Guide to the Galaxy,SHOW,"Don't Panic! The story of Arthur Dent, an average Englishman who life was spared by his friend, who turned out to be an alien, while the planet Earth is destroyed. His friend tells him about the Hitchhiker's Guide to the Galaxy, a guide with anything you ever needed, and wanted to know. They travel across the galaxy, meeting friendly, and not so friendly characters in order to find the great question (the answer being 42).",1981,TV-PG,32,"['comedy', 'fantasy', 'scifi']",['GB'],1,8.0,10934,6.655,8.2,"['comedy', 'scifi']",3.0,1.0,8.1,-0.1999999999999993,0.8218812932410038,0.9307862760908432,0.9999999979100108
Married... with Children,SHOW,"Al Bundy is an unsuccessful middle aged shoe salesman with a miserable life and an equally dysfunctional family. He hates his job, his wife is lazy, his son is dysfunctional (especially with women), and his daughter is dim-witted and promiscuous.",1987,TV-PG,23,"['comedy', 'drama']",['US'],11,5.5,56,44.537,7.839999999999999,"['comedy', 'drama']",2.0,1.0,6.67,-2.339999999999999,0.676586758987894,0.5545224005796812,0.27206710780784277
The Wonder Years,SHOW,"The story of Kevin Arnold facing the trials and tribulations of youth while growing up during the 1960s and 70s. Told through narration from an adult Kevin, Kevin faces the difficulties of maintaining relationships and friendships on his enthralling journey into adulthood.",1988,,25,"['comedy', 'drama', 'family', 'romance']",['US'],6,8.4,37397,52.372,8.56,"['comedy', 'drama']",4.0,1.0,8.48,-0.16000000000000014,0.7244215842794096,0.5545224005796812,0.9999999995215456
Mr. Bean,SHOW,Mr Bean turns simple everyday tasks into chaotic situations and will leave you in stitches as he creates havoc wherever he goes.,1990,TV-PG,21,"['comedy', 'european', 'family']",['GB'],3,8.6,114774,31.763,8.110000000000001,"['comedy', 'family']",3.0,1.0,8.355,0.48999999999999844,0.835483992020949,0.9307862760908432,0.7460319355973192
"Beverly Hills, 90210",SHOW,"Follow the lives of a group of teenagers living in the upscale, star-studded community of Beverly Hills, California and attending the fictitious West Beverly Hills High School and, subsequently, the fictitious California University after graduation.",1990,TV-14,47,"['drama', 'romance']",['US'],10,6.4,33953,48.915,7.75,"['drama', 'romance']",2.0,1.0,7.075,-1.3499999999999996,0.7809468902141508,0.5545224005796812,0.27206710734749023
Peggy Sue Got Married,MOVIE,"Peggy Sue faints at a high school reunion. When she wakes up she finds herself in her own past, just before she finished school.",1986,PG-13,99,"['comedy', 'drama', 'fantasy', 'romance']",['US'],,6.4,37182,8.256,6.49,"['fantasy', 'romance']",4.0,1.0,6.445,-0.08999999999999986,0.7240037012184027,0.5545224005796812,0.3016412615354331
Wings,SHOW,Brothers Brian and Joe Hackett attempt to run an airline on the New England island of Nantucket while surrounded by their various wacky friends and employees.,1990,,22,"['comedy', 'drama']",['US'],8,7.3,12614,14.293,7.21,"['comedy', 'drama']",2.0,1.0,7.255,0.08999999999999986,0.676586758987894,0.5545224005796812,0.7460319355126752
St. Elmo's Fire,MOVIE,"A group of friends graduate from the halls of Georgetown University into lives that revolve around sex, paychecks, and career aspirations. Kirby waits tables to pay for law school. His roommate Kevin struggles at a D.C. newspaper as he lusts after the stylish Jules. Jules may be an object of adoration and envy, but secretly she has problems of her own. Demure Wendy is in love with Billy—a sax player and an irresponsible drunk. Alex wants it all: a career in politics and the appearance of a traditional home life. Alex's girlfriend, Leslie, is an ambitious architect who doesn't know about his infidelity, but his new allegiance to the Republican Party is already enough to put her off marriage.",1985,R,110,"['comedy', 'drama', 'romance']",['US'],,6.3,41463,12.614,6.58,"['comedy', 'drama']",3.0,1.0,6.4399999999999995,-0.28000000000000025,0.6961172323212071,0.5545224005796812,0.5013732886917364
Blackadder,SHOW,"Through four series and a few specials, Edmund Blackadder and his greasy sidekick Baldrick conjure up cunning plans as Edmund tries to take advantage of desperate times. These situation tragedies had obvious parallels from the Dark Ages to Elizabethan times, the rule of mad George III, and The Great War.",1983,TV-PG,30,"['comedy', 'european']",['GB'],4,8.0,37902,21.242,8.110000000000001,"['comedy', 'european']",2.0,1.0,8.055,-0.11000000000000121,0.8444160766147387,0.9307862760908432,0.6121902526412245
ThunderCats,SHOW,"The inhabitants of the planet Thundera evacuate just before it is destroyed. They were pursued by a band of mutants. All but one of their escape ships was destroyed. Only a small group of Thunderans (Thundercats) remained. With only half engine power, the group, which was led by Jaga, had to set a course for the nearest planet. Jaga commanded their ship while the other seven were in their stasis tubes. Jaga died on their journey to Third Earth and their ship crashed there. Soon they made friends with various groups in the area and they designed a fortress. Mumm-Ra the centuries-old embodiment of evil, along with the mutants that destroyed the rest of the Thunderans are a constant threat. But Lion-O, the new leader of the Thundercats, with his weapon the ""Sword of Omens"" will help the Thundercats to have a standing chance.",1985,TV-Y7,23,"['action', 'animation', 'family', 'fantasy', 'scifi']",['US'],4,7.9,17592,28.149,8.379999999999999,"['action', 'scifi']",5.0,1.0,8.14,-0.47999999999999865,0.8320249900784007,0.5545224005796812,0.999999997675128
Can't Buy Me Love,MOVIE,"Nerdy high schooler Ronald Miller rescues cheerleader Cindy Mancini from parental punishment after she accidentally destroys her mother's designer clothes. Ronald agrees to pay for the $1,000 outfit on one condition: that she will act as though they're a couple for an entire month. As the days pass, however, Cindy grows fond of Ronald, making him popular. But when Ronald's former best friend gets left behind, he realizes that social success isn't everything.",1987,PG-13,94,"['comedy', 'drama', 'romance']",['US'],,6.7,36852,13.144,7.3,"['comedy', 'romance']",3.0,1.0,7.0,-0.5999999999999996,0.6961172323212071,0.5545224005796812,0.4097922490056067
America's Funniest Home Videos,SHOW,America's Funniest Home Videos is the longest-running primetime entertainment show in ABC history. Each week AFV shines the spotlight on hilarious videos. Fans tune in to witness failures and fiascos and to submit their own mishaps for their chance at stardom.,1989,TV-PG,49,"['comedy', 'family', 'reality']",['US'],32,6.2,5356,18.117,7.3,"['family', 'reality']",3.0,1.0,6.75,-1.0999999999999996,0.8480257608992454,0.5545224005796812,0.2720671072730707
Unsolved Mysteries,SHOW,"Combines four to five segments of dramatic re-enactments, interviews and updates of real human and paranormal mysteries. An audience interactive call-to-action request allowed viewers to call in with tips to help solve the cases.",1987,TV-PG,53,"['crime', 'documentation', 'drama', 'thriller']",['US'],16,8.2,5764,7.323,8.02,"['drama', 'thriller']",4.0,1.0,8.11,0.17999999999999972,0.7426027733692688,0.5545224005796812,0.9999999966032016
Baywatch,SHOW,Join the Baywatch lifeguards on their thrilling adventures filled with beautiful beaches and those iconic red swimsuits.,1989,TV-PG,46,"['action', 'crime', 'drama', 'romance']",['US'],11,5.3,27179,59.02,6.130000000000001,"['action', 'drama']",4.0,1.0,5.715,-0.830000000000001,0.7507958106211653,0.5545224005796812,0.6759702647399503
Designing Women,SHOW,"Julia Sugarbaker, Mary Jo Shively, Charlene Frazier-Stillfield and Suzanne Sugarbaker are associates at their design firm, Sugarbaker and Associates. Julia is the owner and is very outspoken and strong-willed. Mary Jo is a divorced single-parent whom is just as strong-willed as Julia, but isn't as self-confident. Charlene is the naive and trusting farm girl from Poplar Bluff, Missouri. Suzanne is the self-centered ex-beauty queen whom has a number of wealthy ex-husbands.",1986,TV-PG,25,['comedy'],['US'],8,7.2,5794,10.263,7.21,['comedy'],1.0,1.0,7.205,-0.009999999999999787,0.7743576575786824,0.5545224005796812,0.5013732867679899
The Joy of Painting,SHOW,"The Joy of Painting was an American television show hosted by painter Bob Ross that taught its viewers techniques for landscape oil painting. Although Ross could complete a painting in half an hour, the intent of the show was not to teach viewers ""speed painting"". Rather, he intended for viewers to learn certain techniques within the time that the show was allotted. The show began on January 11, 1983, and lasted until May 17, 1994, a year before Ross' death.",1983,,25,"['documentation', 'family']",['US'],31,9.3,5316,15.984,8.83,"['documentation', 'family']",2.0,1.0,9.065000000000001,0.47000000000000064,0.8705880218964593,0.5545224005796812,0.5013732876672516
Whose Line Is It Anyway?,SHOW,"An un-scripted comedy show in which four guest performers improvise their way through a series of games, many of which rely on audience suggestions.",1988,TV-MA,23,['comedy'],['GB'],10,8.2,5626,6.626,7.839999999999999,['comedy'],1.0,1.0,8.02,0.3600000000000003,0.7743576575786824,0.9307862760908432,0.24526099919457267
Roxanne,MOVIE,"Based on the play 'Cyrano de Bergerac', large-nosed C.D. Bales falls for the beautiful Roxanne—while she falls for his personality but another man's looks.",1987,PG,107,"['comedy', 'romance']",['US'],,6.6,44752,11.803,6.76,"['comedy', 'romance']",2.0,1.0,6.68,-0.16000000000000014,0.7767652088457677,0.5545224005796812,0.7460319357198733
St. Elsewhere,SHOW,"St. Elsewhere is an American medical drama television series that originally ran on NBC from October 26, 1982 to May 25, 1988. The series starred Ed Flanders, Norman Lloyd and William Daniels as teaching doctors at a lightly-regarded Boston hospital who gave interns a promising future in making critical medical and life decisions. The series was produced by MTM Enterprises, which had success with a similar NBC series, the police drama Hill Street Blues, during that same time; both series were often compared to each other for their use of ensemble casts and overlapping serialized storylines. St. Elsewhere was filmed at CBS/MTM Studios, which was known as CBS/Fox Studios when the show began; coincidentally, 20th Century Fox wound up acquiring the rights to the series when it bought MTM Enterprises in the 1990s.

Known for its combination of gritty, realistic drama and moments of black comedy, St. Elsewhere gained a small yet loyal following over its 6-season, 137-episode run; the series also found a strong audience in Nielsen's 18-49 age demographic, a young demo later known for a young, affluent audience that TV advertisers are eager to reach. The series also earned critical acclaim during its run, earning 13 Emmy Awards for its writing, acting, and directing. St. Elsewhere was ranked #20 on TV Guide's 2002 list of ""The 50 Greatest TV Shows of All Time."", with the magazine also selecting it as the best drama series of the 1980s in a 1993 issue.",1982,TV-14,52,"['comedy', 'drama']",['US'],6,8.0,4473,15.791,5.77,"['comedy', 'drama']",2.0,1.0,6.885,2.2300000000000004,0.676586758987894,0.5545224005796812,0.5013732890679324
Hill Street Blues,SHOW,A realistic glimpse into the daily lives of the officers and detectives at an urban police station.,1981,TV-14,49,"['crime', 'drama']",['US'],7,8.2,8822,28.323,7.839999999999999,"['crime', 'drama']",2.0,1.0,8.02,0.3600000000000003,0.797275206562767,0.5545224005796812,0.4097922487036203
Look Who's Talking,MOVIE,"Mollie is a single working mother who's out to find the perfect father for her child. Her baby, Mikey, prefers James, a cab driver turned babysitter who has what it takes to make them both happy. But Mollie won't even consider James. It's going to take all the tricks a baby can think of to bring them together before it's too late.",1989,PG-13,93,['comedy'],['US'],,5.9,82009,12.165,6.67,['comedy'],1.0,1.0,6.285,-0.7699999999999996,0.7743576575786824,0.5545224005796812,0.4097922505631506
Ranma ½,SHOW,"Saotome Ranma, a teenage martial artist, and his father Genma travel to the 'cursed training ground' of Jusenkyo in China. There, despite the warnings of the Chinese guard, they fall into the cursed springs. From now on, whenever Ranma is doused in cold water, he turns in to a girl, and a cute, well-built red-head at that. Hot water changes him back into a man again, but only until the next time. To make matters worse, his father engages him to Tendo Akane, a girl who hates boys.",1989,TV-14,24,"['action', 'animation', 'comedy', 'fantasy', 'romance', 'scifi']",['JP'],7,8.2,1508,65.102,8.83,"['action', 'scifi']",6.0,1.0,8.515,-0.6300000000000008,0.7560847773732816,0.9276483709208561,0.6759702639448253
Tiny Toon Adventures,SHOW,Follow the adventures of a group of young cartoon characters who attend the Acme Looniversity to become the next generation of characters from the Looney Tunes series.,1990,TV-Y7,22,"['animation', 'comedy', 'family', 'fantasy', 'romance', 'scifi']",['US'],3,7.5,13104,11.25,8.02,"['family', 'romance']",6.0,1.0,7.76,-0.5199999999999996,0.7714769183063376,0.5545224005796812,0.5013732884040197
Postcards From the Edge,MOVIE,"Substance-addicted Hollywood actress, Suzanne Vale is on the skids. After a spell at a detox centre her film company insists as a condition of continuing to employ her that she live with her mother, herself once a star and now a champion drinker. Such a set-up is bad news for Suzanne who has struggled for years to get out of her mother's shadow, and who still treats her like a child. Despite these and other problems, Suzanne begins to see the funny side of her situation, and also realises that not only do daughters have mothers—mothers do too.",1990,R,101,"['comedy', 'drama']",['US'],,6.7,17436,6.917,6.9399999999999995,"['comedy', 'drama']",2.0,1.0,6.82,-0.23999999999999932,0.676586758987894,0.5545224005796812,0.33425295006358646
Blind Date,MOVIE,"When bachelor Walter Davis is set up with his sister-in-law's pretty cousin, Nadia Gates, a seemingly average blind date turns into a chaotic night on the town. Walter's brother, Ted, tells him not to let Nadia drink alcohol, but he dismisses the warning and her behaviour gets increasingly wild. Walter and Nadia's numerous incidents are made even worse as her former lover David relentlessly follows them around town.",1987,PG-13,95,"['comedy', 'romance']",['US'],,5.9,22521,11.472,6.4,"['comedy', 'romance']",2.0,1.0,6.15,-0.5,0.7767652088457677,0.5545224005796812,0.9999999988229731
"Doogie Howser, M.D.",SHOW,"Doogie Howser, M.D. is an American television comedy-drama starring Neil Patrick Harris as a teenage physician who also faces the problems of being a normal teenager. Creators Steven Bochco and David E. Kelley, partnering with ABC, aired the show from 1989 to 1993 for four seasons totaling 97 episodes.",1989,,23,"['comedy', 'drama', 'family']",['US'],4,6.5,8779,9.35,7.119999999999999,"['comedy', 'drama']",3.0,1.0,6.81,-0.6199999999999992,0.7449214010800181,0.5545224005796812,0.3016412615546352
Tough Guys,MOVIE,"Harry Doyle and Archie Lang are two old-time train robbers, who held up a train in 1956 and have been incarcerated for thirty years. After serving their time, they are released from jail and have to adjust to a new life of freedom. and soon realize that they still have the pizzazz when, picking up their prison checks at a bank, they foil a robbery attempt.",1986,PG,104,"['comedy', 'crime']",['US'],,6.2,7225,10.521,6.3100000000000005,"['comedy', 'crime']",2.0,1.0,6.255000000000001,-0.11000000000000032,0.79231603860168,0.5545224005796812,0.5541555482720429
Spaced Invaders,MOVIE,"A crew of Martians overhears a radio broadcast of Orson Welles' ""War of the Worlds"" coming from Earth, and, thinking the Martian fleet is attacking Earth, they land their broken-down ship in a backwater mid-American town. As luck would have it, they land on Halloween and get mistaken for trick-or-treaters. Comedy ensues as the Martians try to get taken seriously.",1990,PG,100,"['comedy', 'scifi']",['US'],,5.3,3619,3.746,5.319999999999999,"['comedy', 'scifi']",2.0,1.0,5.31,-0.019999999999999574,0.8220627758543828,0.5545224005796812,0.5541555497453602
Three Fugitives,MOVIE,"On his first day after being released from jail for 14 armed bank robberies, Lucas finds himself caught up in someone else's robbery. Perry has decided to hold up the local bank to raise money so that he can keep his daughter, Meg, and get her the treatment she needs. Dugan, a detective, assumes Lucas helped plan the robbery, and hence Lucas, Perry and Meg become three fugitives.",1989,PG-13,96,"['action', 'comedy']",['US'],,6.2,11774,9.45,7.03,"['action', 'comedy']",2.0,1.0,6.615,-0.8300000000000001,0.7829167055137609,0.5545224005796812,0.6121902506091157
